restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords,first_review_date,last_review_date
g1096027-d21253614,Deli Sushi,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""French Riviera - Cote d'Azur"", ""Beausoleil""]",France,Provence-Alpes-Cote d'Azur,,Beausoleil,"3 boulevard des Moneghetti, 06240 Beausoleil France",43.73824,7.41726,Unclaimed,,#22 of 27 Restaurants in Beausoleil,#23 of 31 places to eat in Beausoleil,"Mid-range, Japanese, Caribbean, Jamaican",€€-€€€,,,"Japanese, Caribbean, Jamaican",,,N,N,N,,,,,5.0,1.0,English,1.0,1.0,0.0,0.0,,0.0,,,,,,,2014-02-16
g1096027-d6622315,La Veranda Portugaise,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""French Riviera - Cote d'Azur"", ""Beausoleil""]",France,,French Riviera - Cote d'Azur,,"27 boulevard de la Republique, 06240 Beausoleil France",43.74304,7.42526,Claimed,,#17 of 27 Restaurants in Beausoleil,#18 of 31 places to eat in Beausoleil,"Mid-range, European, Portuguese",€€-€€€,€13-€21,"Lunch, Dinner","Portuguese, European",,,,,N,,,,,3.5,55.0,,15.0,5.0,6.0,1.0,0.0,3.0,,4.0,3.5,3.0,,2018-04-25,2023-02-01
,Inkonito,"[""Europe"", ""France"", ""Ile-de-France"", ""Val-de-Marne"", ""Cachan""]",France,Ile-de-France,Val-de-Marne,Cachan,"33 avenue Aristide Briand, 94230 Cachan France",48.79966,,Claimed,,#13 of 32 Restaurants in Cachan,#13 of 37 places to eat in Cachan,"Mid-range, French",€€-€€€,€10-€30,Lunch,French,,,N,N,N,,,,,4.0,13.0,All languages,13.0,4.0,,0.0,2.0,,,,,,,2018-12-02,2022-05-23
g1096029-d15668508,Gramophone Cachan,,France,Ile-de-France,,Cachan,"25 avenue Aristide Briand, 94230 Cachan France",48.80002,2.323481,Unclaimed,,#6 of 32 Restaurants in Cachan,,,€€€€,,"Dinner, Lunch",,,"Reservations, Seating, Table Service",N,,N,,,,,5.0,12.0,English,,1.0,1.0,0.0,0.0,0.0,5.0,4.5,,,,2013-08-28,2017-04-12
g1096029-d23023097,,"[""Europe"", ""France"", ""Ile-de-France"", ""Val-de-Marne"", ""Cachan""]",France,Ile-de-France,Val-de-Marne,Cachan,,48.792496,2.333027,Unclaimed,,#23 of 32 Restaurants in Cachan,#24 of 37 places to eat in Cachan,,€,€3-€12,,"Asian, Thai",,,,N,N,,,,,5.0,,All languages,,1.0,0.0,0.0,0.0,0.0,,,,,,2017-09-12,2018-01-25
g1096029-d6840452,Sel et Braise,"[""Europe"", ""France"", ""Ile-de-France"", ""Val-de-Marne"", ""Cachan""]",,,Val-de-Marne,Cachan,,48.793533,2.335892,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 32 Restaurants in Cachan,#1 of 37 places to eat in Cachan,"Mid-range, European, Portuguese",€€-€€€,,,"European, Portuguese",,,N,N,N,"{""Mon"": [], ""Tue"": [""12:00-14:30"", ""19:00-22:00""], ""Wed"": [""12:00-14:30"", ""19:00-22:00""], ""Thu"": [""12:00-14:30"", ""19:00-22:00""], ""Fri"": [""12:00-14:30"", ""19:00-22:00""], ""Sat"": [""12:00-14:30"", ""19:00-22:00""], ""Sun"": [""12:00-14:30""]}",6.0,30.0,11.0,4.5,225.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,4.5,4.0,,,2015-06-14,2015-12-23
g1096030-d1334055,,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Maury""]",France,Occitanie,,Maury,"33 avenue Jean Jaures, 66460 Maury France",42.80968,2.595147,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2016, Certificate of Excellence 2015",#2 of 3 Restaurants in Maury,#2 of 3 places to eat in Maury,"Mid-range, French, Barbecue, European",€€-€€€,,,"French, Barbecue, European, Wine Bar",,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Parking Available",N,N,N,"{""Mon"": [""12:00-14:00"", ""19:00-21:00""], ""Tue"": [""12:00-14:00"", ""19:00-21:00""], ""Wed"": [""12:00-14:00"", ""19:00-21:00""], ""Thu"": [""12:00-14:00"", ""19:00-21:00""], ""Fri"": [""12:00-14:00"", ""19:00-21:00""], ""Sat"": [""12:00-14:00"", ""19:00-21:00""], ""Sun"": [""12:00-14:00"", ""19:00-21:00""]}",7.0,28.0,14.0,4.0,139.0,,23.0,,11.0,3.0,1.0,1.0,4.0,4.0,4.0,,,2023-12-15,2023-12-31
g1096032-d1335062,Le Soprano,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Perols""]",France,,Herault,Perols,"51 Grand rue, 34470 Perols France",43.56312,3.9537,Unclaimed,,#21 of 25 Restaurants in Perols,#21 of 27 places to eat in Perols,,,,,,,,N,,N,,,,,4.0,1.0,All languages,1.0,0.0,1.0,0.0,,,,,,,,,2023-12-31
g1096032-d21207936,,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Perols""]",,,Herault,Perols,,43.56183,3.95492,Claimed,,,#13 of 27 places to eat in Perols,"Mid-range, French",,€12-€32,,French,,Reservations,,N,N,,,,,5.0,8.0,All languages,8.0,8.0,0.0,0.0,,0.0,,,,,,2021-09-07,2023-12-31
g1096032-d7319353,Dynasty Grill,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Perols""]",France,Occitanie,Herault,Perols,,43.574017,3.946561,Unclaimed,,#25 of 25 Restaurants in Perols,#25 of 27 places to eat in Perols,"Cheap Eats, Chinese, Japanese, Asian",€,,Dinner,"Chinese, Japanese, Asian",,"Wheelchair Accessible, Seating",,N,N,"{""Mon"": [""12:00-14:30"", ""19:00-22:30""], ""Tue"": [""12:00-14:30"", ""19:00-22:30""], ""Wed"": [""12:00-14:30"", ""19:00-22:30""], ""Thu"": [""12:00-14:30"", ""19:00-22:30""], ""Fri"": [""12:00-14:30"", ""19:00-22:30""], ""Sat"": [""12:00-14:30"", ""19:00-22:30""], ""Sun"": [""12:00-14:30"", ""19:00-22:30""]}",7.0,42.0,14.0,,93.0,All languages,93.0,9.0,21.0,10.0,18.0,,,,,,,2022-11-01,2023-12-31
g1096033-d11797484,Quick,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Lunel""]",France,Occitanie,Herault,Lunel,"206 Chemin de la Vidourlenque, 34400 Lunel France",,4.146298,Claimed,,#51 of 51 Restaurants in Lunel,#51 of 58 places to eat in Lunel,"Cheap Eats, Fast food",,,"Lunch, Dinner",,,"Takeout, Seating, Wheelchair Accessible",N,N,N,,7.0,49.0,7.0,2.0,,All languages,18.0,0.0,,,3.0,11.0,2.5,2.5,2.5,,,2021-07-20,2023-03-18
g1096033-d13498123,Félicie,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Lunel""]",France,Occitanie,Herault,Lunel,"46 B rue Pierre Curie, 34400 Lunel France",43.68135,4.146865,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",,#9 of 58 places to eat in Lunel,"Mid-range, French",€€-€€€,,,French,,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,,,,,4.5,51.0,,51.0,38.0,12.0,0.0,0.0,,4.5,4.5,4.5,,,2023-01-02,2023-12-31
g1096033-d19257568,A Table ! Foodtruck Camarguais,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Lunel""]",France,Occitanie,Herault,,"Rond point de l'étang de l'Or En face de la clinique vétérinaire, 34400 Lunel France",43.666096,4.122414,Claimed,,#29 of 51 Restaurants in Lunel,#29 of 58 places to eat in Lunel,"Cheap Eats, French, Mediterranean, European",€,€6-€12,"Lunch, Drinks","French, Mediterranean, European, Deli, Street Food",,,N,N,N,"{""Mon"": [""11:30-15:00""], ""Tue"": [""11:30-15:00""], ""Wed"": [""11:30-15:00""], ""Thu"": [""11:30-15:00""], ""Fri"": [""11:30-15:00""], ""Sat"": [], ""Sun"": []}",5.0,,5.0,5.0,4.0,All languages,4.0,4.0,0.0,,0.0,,,,,,,2014-03-28,2016-10-04
g1096033-d20871144,,,France,,Herault,Lunel,"29 rue des Fournels, 34400 Lunel France",,4.117791,Claimed,,#40 of 51 Restaurants in Lunel,#40 of 58 places to eat in Lunel,"Cheap Eats, French",€,,"Breakfast, Lunch, Dinner",French,,,N,N,N,"{""Mon"": [""06:30-20:00""], ""Tue"": [""06:30-20:00""], ""Wed"": [""06:30-20:00""], ""Thu"": [""06:30-20:00""], ""Fri"": [""06:30-20:00""], ""Sat"": [""07:30-20:00""], ""Sun"": [""07:30-13:30""]}",7.0,86.0,,5.0,1.0,,1.0,1.0,,,0.0,0.0,,,,,,2011-07-29,2011-08-18
,,,France,Occitanie,Herault,Lunel,"129 cours Gabriel Peri, 34400 Lunel France",,4.132774,Claimed,"Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Simple restaurant",#2 of 51 Restaurants in Lunel,,"Mid-range, French, European, Vegetarian Friendly",€€-€€€,,,,Vegetarian Friendly,,Y,N,N,,6.0,15.0,7.0,4.5,385.0,English,9.0,6.0,2.0,1.0,0.0,,4.5,4.5,4.0,,,2020-05-10,2023-12-31
g1096033-d5887244,Bar de L'Avenir,,France,Occitanie,Herault,Lunel,"4 Place Denfert Rochereau, 34400 Lunel France",43.67593,4.13792,Unclaimed,,#47 of 51 Restaurants in Lunel,#47 of 58 places to eat in Lunel,,,,,,,,N,N,N,,,,,3.0,1.0,All languages,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,2020-09-02,
g1096033-d7778590,Sushi Lunel,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Lunel""]",France,Occitanie,Herault,Lunel,"11 rue Marx Dormoy, 34400 Lunel France",,,Unclaimed,,#26 of 51 Restaurants in Lunel,,"Mid-range, Japanese, Sushi, Asian",€€-€€€,,"Lunch, Dinner","Japanese, Sushi, Asian",,"Takeout, Seating, Table Service, Delivery, Serves Alcohol",N,,N,,,,,3.5,80.0,All languages,,26.0,21.0,13.0,10.0,10.0,3.5,3.5,3.0,,,,2023-11-13
,Ciboule et Ciboulette,"[""Europe"", ""France"", ""Pays de la Loire"", ""Maine et Loire"", ""Angers"", ""Avrille""]",France,Pays de la Loire,Maine et Loire,Avrille,"60 avenue Pierre Mendes France, 49240 Avrille, Angers France",47.50554,-0.587954,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#1 of 6 Restaurants in Avrille,,"Mid-range, French, Contemporary",€€-€€€,,"Lunch, Dinner","French, Contemporary",,"Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Reservations, Serves Alcohol, Accepts Credit Cards, Table Service",,,N,"{""Mon"": [], ""Tue"": [""12:00-13:30""], ""Wed"": [""12:00-13:30""], ""Thu"": [""12:00-13:30"", ""19:30-21:15""], ""Fri"": [""12:00-13:30"", ""19:30-21:15""], ""Sat"": [""12:00-13:30"", ""19:30-21:15""], ""Sun"": []}",5.0,12.75,8.0,4.5,351.0,English,2.0,,1.0,1.0,0.0,0.0,4.5,4.5,4.5,4.0,,,2017-12-08
,,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Charente"", ""La Couronne""]",France,Nouvelle-Aquitaine,,La Couronne,"22 rue de la Liberation, 16400 La Couronne France",45.60737,0.10079,Claimed,,#9 of 11 Restaurants in La Couronne,#9 of 12 places to eat in La Couronne,"Mid-range, Italian",€€-€€€,€7-€15,"Lunch, Dinner, Drinks",,,,,N,N,"{""Mon"": [""11:00-13:30"", ""18:00-21:30""], ""Tue"": [""11:00-13:30"", ""18:00-21:30""], ""Wed"": [], ""Thu"": [""11:00-13:30"", ""18:00-22:00""], ""Fri"": [""11:00-13:30"", ""18:00-22:00""], ""Sat"": [""18:00-22:00""], ""Sun"": [""18:00-21:30""]}",6.0,,10.0,5.0,,All languages,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,2012-07-29,2013-12-21
g1096043-d6970726,Le Bacchus,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Rhone"", ""Lancie""]",France,Auvergne-Rhone-Alpes,Rhone,Lancie,"641 route du Beaujolais, 69220 Lancie France",46.170322,4.713072,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",#1 of 1 Restaurant in Lancie,#1 of 1 places to eat in Lancie,,,€11-€38,"Lunch, Dinner, Breakfast, Drinks",,,,N,N,N,"{""Mon"": [""11:00-13:00"", ""18:00-20:00""], ""Tue"": [""11:00-13:00"", ""18:00-20:00""], ""Wed"": [""09:00-17:00""], ""Thu"": [""11:00-13:00"", ""18:00-20:00""], ""Fri"": [""11:00-13:00"", ""18:00-20:00""], ""Sat"": [""11:00-13:00"", ""18:00-20:00""], ""Sun"": [""11:00-13:00""]}",7.0,30.0,12.0,,68.0,English,7.0,4.0,2.0,1.0,0.0,0.0,,,4.5,,,2014-11-09,2019-04-14
g1096044-d12925679,Tacos Avenue,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Rhone"", ""Vaulx en Velin""]",France,Auvergne-Rhone-Alpes,Rhone,Vaulx en Velin,"2 rue Jacquard Carré de Soie, 69120 Vaulx en Velin France",45.76396,4.92031,Unclaimed,,#2 of 2 Quick Bites in Vaulx en Velin,,"Cheap Eats, Quick Bites, Fast food, Street Food",€,,Dinner,"Fast food, Street Food",,,N,N,N,,,,,,32.0,All languages,32.0,,2.0,,7.0,14.0,2.5,,2.5,,,2015-09-12,
g1096044-d19272033,La cote et l’arete,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Rhone"", ""Vaulx en Velin""]",France,Auvergne-Rhone-Alpes,,Vaulx en Velin,"5 avenue de Bohlen Vaulx En Velin, 69120 Vaulx en Velin France",45.76491,4.92012,Claimed,,#9 of 30 Restaurants in Vaulx en Velin,#10 of 40 places to eat in Vaulx en Velin,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,,,N,N,"{""Mon"": [""12:00-14:30"", ""19:00-22:30""], ""Tue"": [""12:00-14:30"", ""19:00-22:30""], ""Wed"": [""12:00-14:30"", ""19:00-22:30""], ""Thu"": [""12:00-14:30"", ""19:00-22:30""], ""Fri"": [""12:00-14:30"", ""19:00-22:30""], ""Sat"": [""12:00-14:30"", ""19:00-23:00""], ""Sun"": [""12:00-14:30"", ""19:00-22:30""]}",7.0,,14.0,,28.0,All languages,,9.0,9.0,4.0,,3.0,3.5,3.5,3.0,,,,2012-12-27
,Au Four et au Moulin,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Rhone"", ""Vaulx en Velin""]",,,Rhone,Vaulx en Velin,"232 avenue Franklin Roosevelt, 69120 Vaulx en Velin France",45.74753,4.93322,Claimed,,#11 of 30 Restaurants in Vaulx en Velin,,"Mid-range, Pizza, Halal",€€-€€€,€6-€15,,Pizza,Halal,,N,N,N,"{""Mon"": [""10:00-22:30""], ""Tue"": [""10:00-22:30""], ""Wed"": [""10:00-22:30""], ""Thu"": [""10:00-22:30""], ""Fri"": [""10:00-22:30""], ""Sat"": [""10:00-22:30""], ""Sun"": []}",6.0,75.0,,4.5,5.0,,5.0,,0.0,1.0,0.0,,,,,,,,
g1096044-d7989433,Cirque Imagine Lyon,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Rhone"", ""Vaulx en Velin""]",France,Auvergne-Rhone-Alpes,Rhone,Vaulx en Velin,"5 avenue des Canuts Carre De Soie, 69120 Vaulx en Velin France",45.762127,4.924745,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 30 Restaurants in Vaulx en Velin,#1 of 40 places to eat in Vaulx en Velin,,€€-€€€,€32-€81,Dinner,French,,,N,N,N,"{""Mon"": [""09:00-13:00"", ""14:00-19:00""], ""Tue"": [""09:00-13:00"", ""14:00-18:00""], ""Wed"": [""09:00-18:00""], ""Thu"": [""09:00-13:00"", ""14:00-18:00""], ""Fri"": [""09:00-13:00"", ""14:00-17:00""], ""Sat"": [], ""Sun"": []}",5.0,,9.0,4.5,,English,1.0,,0.0,0.0,0.0,,4.0,4.5,4.0,,,2013-06-15,
g1096221-d6885720,Le Romarin,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Moussoulens""]",France,Occitanie,Aude,,"2 route Imperiale, 11170 Moussoulens, Carcassonne France",43.28094,2.2339,Unclaimed,,,#1 of 1 places to eat in Moussoulens,,€,,"Lunch, Dinner",French,,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service",N,N,,,,,,4.0,54.0,English,,6.0,,1.0,0.0,0.0,4.0,,4.0,,,2019-04-27,2023-12-22
g1096268-d10264867,Le Saint Mam,"[""Europe"", ""France"", ""Ile-de-France"", ""Seine-et-Marne"", ""Saint-Mammes""]",France,Ile-de-France,,Saint-Mammes,"3 quai de Seine, 77670 Saint-Mammes France",48.388653,2.807404,Claimed,,#2 of 4 Restaurants in Saint-Mammes,#2 of 4 places to eat in Saint-Mammes,"Mid-range, French",,€10-€19,"Lunch, Dinner",French,,,N,N,N,"{""Mon"": [""12:00-14:00""], ""Tue"": [""12:00-14:00""], ""Wed"": [""12:00-14:00""], ""Thu"": [""12:00-14:00""], ""Fri"": [""12:00-14:00""], ""Sat"": [], ""Sun"": []}",5.0,10.0,5.0,4.0,30.0,,3.0,1.0,,,0.0,0.0,4.0,,3.5,,,2010-08-05,2013-04-02
g1096273-d3365371,Hôtel Restaurant Normand,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Seine-Maritime"", ""Yport""]",,Normandy,Haute-Normandie,Yport,"2 Place Jean Paul Laurens, 76111 Yport France",49.73875,0.312239,Claimed,,#1 of 7 Restaurants in Yport,#1 of 7 places to eat in Yport,"Mid-range, French, Vegetarian Friendly",€€-€€€,,,French,Vegetarian Friendly,,,N,N,"{""Mon"": [""08:00-23:00""], ""Tue"": [""08:00-23:00""], ""Wed"": [""08:00-23:00""], ""Thu"": [""08:00-23:00""], ""Fri"": [""08:00-23:00""], ""Sat"": [""08:00-23:00""], ""Sun"": [""08:00-23:00""]}",7.0,,7.0,4.5,289.0,English,9.0,5.0,2.0,1.0,1.0,0.0,4.5,4.5,4.5,,,2010-12-21,
g1096294-d1095841,Les Caves de Marson,"[""Europe"", ""France"", ""Pays de la Loire"", ""Maine et Loire"", ""Rou-Marson""]",France,Pays de la Loire,,Rou-Marson,"1 rue Henri Fricotelle Marson, 49400 Rou-Marson France",47.25074,-0.14643,,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2014",#1 of 1 Restaurant in Rou-Marson,#1 of 1 places to eat in Rou-Marson,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,,N,N,,,,,,4.5,400.0,English,23.0,,9.0,0.0,0.0,1.0,4.0,4.5,4.0,4.0,,2016-09-01,2018-06-14
g1096448-d10468500,,,France,,Vendee,,"Puy du Fou, 85590 Les Epesses France",46.888332,-0.923274,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#3 of 11 Restaurants in Les Epesses,#4 of 20 places to eat in Les Epesses,,€€-€€€,,"Breakfast, Lunch, Dinner",French,,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Outdoor Seating, Validated Parking, Highchairs Available",N,N,N,,,,,4.0,158.0,English,4.0,2.0,2.0,0.0,0.0,,4.0,4.0,4.0,,,2022-08-29,2023-12-31
g1096448-d4335111,Au Deli'S Bar,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Les Epesses""]",France,Pays de la Loire,Vendee,,"4 rue de la Liberation, 85590 Les Epesses France",46.88399,-0.89994,Claimed,,#8 of 11 Restaurants in Les Epesses,,"Cheap Eats, French",€,€7-€12,"Lunch, Dinner",French,,,N,N,N,,7.0,,12.0,3.5,139.0,English,3.0,0.0,2.0,0.0,0.0,1.0,,4.0,3.5,,,2014-01-08,2018-02-06
g1096458-d7071800,Hotel Les Ondines,,France,Pays de la Loire,Maine et Loire,Chateauneuf-sur-Sarthe,"Quai de la Sarthe, 49330 Chateauneuf-sur-Sarthe France",47.68054,,Unclaimed,,#1 of 2 Restaurants in Chateauneuf-sur-Sarthe,#1 of 2 places to eat in Chateauneuf-sur-Sarthe,"Mid-range, French",,,Lunch,French,,,,N,N,,,,,3.5,25.0,English,3.0,1.0,1.0,1.0,,0.0,3.5,3.0,3.5,,,2021-02-20,
g1096479-d2699351,Le Romarin,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Bouches-du-Rhone"", ""Barbentane""]",France,Provence-Alpes-Cote d'Azur,Bouches-du-Rhone,Barbentane,"11 avenue Bertherigues, 13570 Barbentane France",43.8994,4.74855,Claimed,,#2 of 10 Restaurants in Barbentane,#2 of 12 places to eat in Barbentane,"Mid-range, French",€€-€€€,€10-€27,"Lunch, Dinner, Drinks",French,,,N,N,N,"{""Mon"": [], ""Tue"": [""11:45-14:00"", ""19:15-21:00""], ""Wed"": [""11:45-14:00"", ""19:15-21:00""], ""Thu"": [""11:45-14:00""], ""Fri"": [""11:45-14:00"", ""19:15-21:00""], ""Sat"": [""11:45-14:00"", ""19:15-21:00""], ""Sun"": [""09:30-14:00""]}",6.0,22.75,10.0,4.5,62.0,English,11.0,7.0,4.0,0.0,0.0,0.0,4.5,,4.5,4.0,,,
g1096497-d12967336,Le Real Martin,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Le Cannet-des-Maures""]",France,,Var,Le Cannet-des-Maures,"Chemin de Portal Quartier la Grande Bastide Rte de l'EA ALAT, 83340 Le Cannet-des-Maures France",43.389877,6.369992,Claimed,,#10 of 15 Restaurants in Le Cannet-des-Maures,,"Mid-range, French, European",,,"Lunch, Dinner, Brunch","European, French",,,N,N,N,"{""Mon"": [""09:00-14:00""], ""Tue"": [""09:00-14:00""], ""Wed"": [""09:00-14:00""], ""Thu"": [""09:00-14:00"", ""19:00-22:00""], ""Fri"": [""09:00-14:00"", ""19:00-22:00""], ""Sat"": [""09:00-14:00"", ""19:00-22:00""], ""Sun"": [""09:00-14:00""]}",7.0,,10.0,4.5,15.0,All languages,15.0,5.0,9.0,1.0,0.0,0.0,,4.5,,,,,2023-12-31
g1096497-d5259932,Le Mas de Causserene,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Le Cannet-des-Maures""]",,Provence-Alpes-Cote d'Azur,Var,,,,,,,,#15 of 17 places to eat in Le Cannet-des-Maures,"Mid-range, French",€€-€€€,,,French,,,N,,N,,,,,3.0,3.0,All languages,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,2014-03-01,2015-02-28
g1096502-d18818654,Le Passage,,France,,Var,Figanieres,"Rond point des 4 chemins Entre Par Le Traiteur Le Panier Du Marché, 83830 Figanieres France",43.56875,6.4969,Claimed,,#4 of 4 Restaurants in Figanieres,#5 of 5 places to eat in Figanieres,"Mid-range, French",€€-€€€,,"Breakfast, Lunch, Brunch, Drinks",French,,,N,N,N,"{""Mon"": [""08:00-13:30""], ""Tue"": [""08:00-13:30""], ""Wed"": [], ""Thu"": [""08:00-13:30""], ""Fri"": [""08:00-13:30""], ""Sat"": [""08:00-13:30""], ""Sun"": [""08:00-12:00""]}",6.0,,6.0,5.0,5.0,English,,3.0,0.0,0.0,0.0,0.0,,,,,,2012-10-28,2014-06-14
,La Taverne du Chateau,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Isere"", ""Roussillon""]",France,,Isere,Roussillon,"2 Place de L'eglise 38150, 38150 Roussillon France",45.3712,4.81011,Claimed,,,,,€€-€€€,,"Lunch, Dinner",French,,"Reservations, Seating, Table Service, Wheelchair Accessible",,N,N,,,,,3.5,,All languages,17.0,4.0,,,1.0,2.0,4.0,4.5,4.5,,,2013-10-22,
g1097552-d5259781,Tous les matins du monde,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Drome"", ""Le Poet-Laval""]",France,Auvergne-Rhone-Alpes,Drome,Le Poet-Laval,,44.53037,5.00752,Unclaimed,,,#2 of 5 places to eat in Le Poet-Laval,"Mid-range, French",€€-€€€,,Lunch,French,,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,,,,,3.5,70.0,All languages,70.0,16.0,29.0,,7.0,6.0,3.5,4.0,3.5,,,2016-05-17,2017-04-24
g1102578-d21167461,,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Castillon-la-Bataille""]",France,Nouvelle-Aquitaine,Gironde,,"18 B avenue des Freres Bureau, 33350 Castillon-la-Bataille France",44.85891,-0.017679,Unclaimed,,#2 of 4 Restaurants in Castillon-la-Bataille,#2 of 6 places to eat in Castillon-la-Bataille,,,,,,,Reservations,N,N,N,,,,,5.0,,All languages,8.0,,0.0,0.0,,0.0,,,,,,2010-01-31,2014-07-20
g1102581-d21199111,Pizza Garanza,,France,,Haute-Corse,Folelli,"Lieu Dit A Garanza : Route D'orezza, 20213 Folelli, Communaute de Communes de la Casinca, Corsica France",42.4446,9.50978,,,,,,,,,"French, Pizza, Barbecue, Dining bars",,,N,N,N,,,,,,,,,,,,,,,,,,,2014-07-23,2015-12-20
g1102587-d16868318,Donatelli's pizzeria,"[""Europe"", ""France"", ""Occitanie"", ""Tarn"", ""Burlats""]",,Occitanie,Tarn,Burlats,"5 avenue du Sidobre Les Salvages, 81100 Burlats France",43.63194,2.27508,,,#3 of 4 Restaurants in Burlats,#3 of 5 places to eat in Burlats,"Mid-range, Italian, Pizza",€€-€€€,€9-€14,"Dinner, Lunch, Drinks","Italian, Pizza",,,,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [""18:30-22:30""], ""Thu"": [""18:30-22:30""], ""Fri"": [""18:30-22:30""], ""Sat"": [""18:30-22:30""], ""Sun"": [""18:30-22:30""]}",5.0,20.0,5.0,5.0,,All languages,17.0,,,0.0,0.0,0.0,,,,,,2012-10-25,
g1102588-d19462626,Sousper,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Alpes Maritimes"", ""Sospel""]",France,Provence-Alpes-Cote d'Azur,Alpes Maritimes,Sospel,"17 avenue Jean Medecin, 06380 Sospel France",,7.447757,Claimed,,#2 of 13 Restaurants in Sospel,#2 of 13 places to eat in Sospel,,€€-€€€,,"Lunch, Dinner, Drinks","Italian, French, Mediterranean, European, International",,,N,N,N,"{""Mon"": [], ""Tue"": [""18:30-21:00""], ""Wed"": [""18:30-21:00""], ""Thu"": [""18:30-21:00""], ""Fri"": [""18:30-21:00""], ""Sat"": [""18:30-21:00""], ""Sun"": []}",5.0,12.5,5.0,,,English,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,,,
