id,name,address,city,phone,type,avg_rating,total_reviews_count,first_review_date,last_review_date
259,louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian,4.8,,,2013-06-12
260,mon kee seafood restaurant,679 n. spring st.,los angeles,213/628-6717,asian,3.7,,2013-04-16,2016-04-18
261,morton's,8764 melrose ave.,los angeles,310/276-5205,american,4.4,29.0,2020-07-07,2022-02-28
262,nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american,4.1,25.0,2019-10-06,2020-12-10
263,nicola,601 s. figueroa st.,los angeles,213/485-0927,american,3.6,45.0,2011-03-09,2015-10-09
264,ocean avenue,1401 ocean ave.,santa monica,310/394-5669,american,4.4,15.0,2011-12-05,2012-11-01
265,orleans,,los angeles,310/479-4187,cajun,4.6,439.0,2016-10-05,2021-07-23
266,pacific dining car,6th st.,los angeles,,american,4.8,42.0,2017-12-05,2020-04-28
267,paty's,10001 riverside dr.,toluca lake,818/761-9126,american,4.3,48.0,2021-10-15,2026-10-08
268,pinot hollywood,1448 n. gower st.,los angeles,213/461-8800,californian,4.5,47.0,2019-01-23,2020-11-16
269,posto,14928 ventura blvd.,sherman oaks,818/784-4400,italian,,2.0,2012-07-17,2015-05-28
270,prego,362 n. camden dr.,los angeles,310/277-7346,italian,4.6,,2010-06-12,2013-07-20
271,rj's the rib joint,252 n. beverly dr.,los angeles,310/274-7427,american,4.6,81.0,2017-08-09,2019-05-08
272,remi,3rd st. promenade,,310/393-6545,italian,4.7,43.0,2016-08-24,2017-10-19
273,restaurant horikawa,111 s. san pedro st.,los angeles,,asian,4.1,52.0,2021-01-23,
274,roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,american,4.8,44.0,2016-11-29,2020-04-01
275,schatzi on main,3110 main st.,los angeles,310/399-4800,continental,4.6,91.0,2017-05-19,2016-01-06
276,sofi,3rd st.,los angeles,213/651-0346,mediterranean,4.5,,2013-08-22,2017-06-28
277,swingers,8020 beverly blvd.,los angeles,213/653-5858,american,3.8,21.0,2011-01-14,2014-04-04
278,tavola calda,7371 melrose ave.,los angeles,213/658-6340,italian,,35.0,2020-07-08,2021-06-02
279,the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,4.7,45.0,2019-11-30,2024-08-09
280,tommy tang's,7313 melrose ave.,los angeles,213/937-5733,asian,4.5,36.0,2011-12-15,2012-04-01
281,tra di noi,3835 cross creek rd.,,310/456-0169,italian,4.2,,2018-06-13,2021-09-28
282,trader vic's,9876 wilshire blvd.,los angeles,310/276-6345,asian,4.6,52.0,2014-05-16,2016-08-12
283,vida,1930 north hillhurst ave.,los feliz,213/660-4446,american,4.4,2.0,2015-03-31,2018-07-16
284,west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american,4.3,226.0,2020-03-08,2024-01-26
285,20 mott,,new york,212/964-0380,asian,3.8,36.0,2020-02-08,2023-07-25
286,9 jones street,9 jones st.,new york,,,4.0,47.0,2012-04-15,2015-07-27
287,adrienne,700 5th ave. at 55th st.,new york,212/903-3918,french,4.3,92.0,2013-09-10,2017-11-27
288,agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,212/473-2602,mediterranean,3.9,35.0,2019-11-10,2023-05-22
289,aja,937 broadway at 22nd st.,new york,212/473-8388,american,4.6,,2021-01-02,2025-01-31
290,alamo,304 e. 48th st.,new york,212/ 759-0590,mexican,4.1,208.0,,2013-01-04
291,alley's end,311 w. 17th st.,new york,212/627-8899,american,4.1,51.0,,
292,ambassador grill,1 united nations plaza at 44th st.,new york,212/702-5014,american,4.9,104.0,2015-11-15,2017-02-08
293,american place,2 park ave. at 32nd st.,new york,212/684-2122,american,4.8,71.0,2017-01-31,2020-03-04
294,anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,,212/308-0112,italian,3.1,36.0,,2013-08-07
295,arizona,206 206 e. 60th st.,new york,,american,,41.0,2018-03-02,2018-08-17
296,arturo's,106 w. houston st.  off thompson st.,new york,212/677-3820,italian,4.8,12.0,2018-02-19,2019-03-22
297,au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian,4.1,50.0,,2017-12-14
298,bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,4.2,37.0,2019-06-28,2023-02-20
299,barbetta,321 w. 46th st.,new york,212/246-9171,italian,3.7,31.0,2021-05-09,2025-02-22
300,ben benson's,123 w. 52nd st.,new york,,american,3.7,12.0,2020-03-13,2021-03-31
301,big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar,3.5,39.0,2018-12-09,2019-05-03
302,billy's,,new york,212/753-1870,american,4.6,136.0,2021-10-10,2023-04-15
303,boca chica,13 1st ave.  near 1st st.,new york,,latin american,4.2,12.0,2018-02-04,2022-05-22
304,bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,4.5,44.0,2018-01-24,2020-08-20
305,boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian,4.5,18.0,2016-07-03,2020-06-10
306,bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,4.7,23.0,2019-03-25,
307,brothers bar-b-q,225 varick st. at clarkston st.,new york,212/727-2775,american,2.7,2.0,2010-11-09,2013-05-06
308,bruno,240 e. 58th st.,new york,212/688-4190,italian,4.2,121.0,2016-01-26,2019-02-07
309,bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american,4.6,,2015-02-08,2019-11-25
310,c3,103 waverly pl.  near washington sq.,new york,212/254-1200,american,,44.0,2020-12-14,2023-03-09
311,ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,212/995-8500,french,4.6,46.0,2010-11-15,2013-11-18
312,cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar,3.7,59.0,,2022-04-29
313,,160 central park s,new york,212/484-5120,french,4.3,11.0,2012-03-18,2014-02-14
314,cafe la fortuna,69 w. 71st st.,new york,212/724-5846,coffee bar,4.9,93.0,2020-08-08,2024-10-23
315,cafe luxembourg,200 w. 70th st.,new york,212/873-7411,french,2.9,,2020-03-22,2022-12-07
316,cafe pierre,2 e. 61st st.,new york,212/940-8185,french,4.6,,2012-10-28,2017-03-24
317,cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,212/818-1222,french,4.5,9.0,,2022-11-03
318,cafe fes,246 w. 4th st. at charles st.,new york,212/924-7653,mediterranean,4.5,12.0,2015-12-18,
319,caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar,3.9,3.0,2021-08-27,2023-04-29
320,caffe dell'artista,46 greenwich ave.,new york,212/645-4431,coffee bar,3.7,0.0,2018-10-04,2021-12-16
321,caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french,4.4,119.0,2010-06-01,2012-02-06
322,caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar,4.6,2.0,2012-06-07,2015-07-05
323,caffe roma,385 broome st. at mulberry,new york,212/226-8413,coffee bar,3.1,36.0,2014-11-04,2018-10-19
324,caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,coffee bar,4.3,143.0,2012-07-15,2014-10-03
325,caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian,4.6,38.0,2011-08-04,2013-10-12
326,capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french,3.0,9.0,2021-09-26,2023-05-27
327,captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood,4.6,148.0,2020-06-06,2024-02-07
328,casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,middle eastern,3.1,76.0,2018-03-16,2015-03-20
329,cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,new york,212/343-9012,asian,2.6,1.0,2012-07-31,2015-03-15
330,chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,212/505-0727,french,3.8,91.0,2012-03-07,2012-05-21
331,chiam,160 e. 48th st.,new york,212/371-2323,asian,3.5,73.0,,2021-08-11
332,china grill,60 w. 53rd st.,new york,212/333-7788,american,3.8,109.0,,2014-02-04
333,cite,120 w. 51st st.,new york,212/956-7100,french,4.8,63.0,2010-02-25,2014-05-31
334,coco pazzo,23 e. 74th st.,new york,212/794-0205,italian,4.9,14.0,2014-10-08,
335,columbus bakery,53rd sts.,new york,212/421-0334,coffee bar,,65.0,2015-06-15,2015-11-13
336,corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,coffee bar,3.4,75.0,2017-06-23,2017-10-14
337,cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar,4.5,98.0,2014-01-24,2017-12-26
338,da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian,4.6,30.0,,
339,dean & deluca,121 prince st.,new york,212/254-8776,coffee bar,4.8,35.0,2017-09-21,2019-04-28
340,diva,341 w. broadway  near grand st.,new york,212/941-9024,italian,4.0,45.0,2021-11-03,2024-12-10
341,dix et sept,181 w. 10th st.,new york,212/645-8023,french,4.1,41.0,2014-05-28,2015-08-25
342,docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood,,35.0,2017-10-27,2018-11-16
343,duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american,4.1,20.0,2014-05-21,2016-04-09
344,el teddy's,219 w. broadway  between franklin and white sts.,new york,212/941-7070,mexican,,10.0,2018-05-26,2022-11-18
345,emily's,1325 5th ave. at 111th st.,new york,212/996-1212,american,4.1,64.0,2018-12-13,2022-10-20
346,empire korea,6 e. 32nd st.,new york,212/725-1333,asian,3.6,92.0,2013-11-11,2014-11-17
347,ernie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american,3.6,43.0,2021-04-02,2024-02-04
348,evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,asian,3.4,40.0,,2024-09-17
349,f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian,4.7,164.0,2020-09-25,2025-06-29
350,felix,340 w. broadway at grand st.,new york,212/431-0021,french,3.2,71.0,2012-08-12,
351,ferrier,29 e. 65th st.,new york,212/772-9000,french,3.5,38.0,2018-08-13,2019-05-01
352,fifty seven fifty seven,57 e. 57th st.,new york,212/758-5757,american,4.8,32.0,2011-04-12,2012-07-17
353,film center cafe,635 9th ave.  between 44th and 45th sts.,new york,212/ 262-2525,american,4.4,28.0,2011-04-08,2012-06-03
354,fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian,4.1,51.0,2021-09-05,2022-07-02
355,firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american,3.3,51.0,2011-11-02,2012-10-11
356,first,87 1st ave.  between 5th and 6th sts.,new york,212/674-3823,american,,95.0,2020-05-15,2022-01-02
357,fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,4.5,14.0,2015-03-04,2017-12-25
358,fleur de jour,348 e. 62nd st.,new york,212/355-2020,coffee bar,3.5,97.0,2013-08-23,2015-09-06
359,flowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american,3.5,-6.0,2010-11-19,2013-01-12
360,follonico,6 w. 24th st.,new york,212/691-6359,italian,4.7,25.0,2018-02-07,2019-05-24
361,fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,american,3.9,,2018-08-28,2019-06-25
362,french roast,458 6th ave. at 11th st.,new york,212/533-2233,french,2.5,68.0,2015-08-09,2020-08-05
363,french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar,3.7,43.0,2019-09-20,2022-09-29
364,frico bar,402 w. 43rd st.  off 9th ave.,new york,212/564-7272,italian,3.6,10.0,2013-11-17,2015-02-02
365,fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian,3.9,,2020-09-06,2016-08-15
366,gabriela's,685 amsterdam ave. at 93rd st.,new york,212/961-0574,mexican,4.3,73.0,2013-06-10,2017-08-08
367,gallagher's,228 w. 52nd st.,new york,212/245-5336,american,4.1,72.0,2016-12-26,2021-10-26
368,gianni's,15 fulton st.,new york,212/608-7300,seafood,3.9,50.0,2011-08-20,2012-06-30
369,girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,212/752-3054,italian,4.8,70.0,2015-09-19,
370,global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american,3.0,56.0,,
371,golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian,3.7,50.0,2016-09-05,2020-09-21
372,grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian,2.9,19.0,2015-05-12,2016-07-19
373,halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,american,4.3,-7.0,2017-09-21,2022-03-11
374,hard rock cafe,221 w. 57th st.,new york,212/489-6565,american,4.7,42.0,2016-02-23,2018-04-19
375,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american,4.3,,2013-05-26,2015-11-19
376,home,20 cornelia st.  between bleecker and w. 4th st.,new york,212/243-9579,american,4.6,68.0,2012-08-01,2015-05-30
377,hudson river club,4 world financial center,new york,212/786-1500,american,4.6,2.0,2017-10-09,2021-08-23
378,i trulli,122 e. 27th st.  between lexington and park aves.,new york,212/481-7372,italian,4.0,35.0,2021-04-06,2021-12-07
379,il cortile,125 mulberry st.  between canal and hester sts.,new york,212/226-6060,italian,4.4,27.0,,2021-10-08
380,il nido,251 e. 53rd st.,new york,212/753-8450,italian,4.1,19.0,2017-08-30,2021-10-04
381,inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american,3.5,51.0,2021-01-22,2023-11-02
382,indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian,4.6,17.0,2020-10-17,2022-03-24
383,internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,212/ 614-0747,coffee bar,4.5,10.0,2016-01-29,2016-06-08
384,ipanema,13 w. 46th st.,new york,212/730-5848,latin american,4.3,10.0,2011-04-24,2014-02-02
385,jean lafitte,68 w. 58th st.,new york,212/751-2323,french,4.5,12.0,2017-08-12,2021-02-24
386,jewel of india,15 w. 44th st.,new york,212/869-5544,asian,4.2,49.0,2017-06-22,2020-04-03
387,jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,212/682-5678,asian,4.4,164.0,2013-04-30,2018-03-22
388,joe allen,326 w. 46th st.,new york,212/581-6464,american,,23.0,2020-03-12,2023-03-28
389,judson grill,152 w. 52nd st.,new york,212/582-5252,american,4.3,102.0,2023-01-07,2020-06-09
390,l'absinthe,227 e. 67th st.,new york,212/794-4950,french,3.7,12.0,2013-12-21,2014-04-29
391,l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern,4.2,24.0,2015-09-22,2018-07-20
392,l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french,4.3,101.0,2012-05-05,
393,l'udo,432 lafayette st.  near astor pl.,new york,,french,,70.0,2012-02-21,2015-10-13
394,la reserve,4 w. 49th st.,new york,212/247-2993,french,4.2,72.0,2013-03-07,2014-01-20
395,lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,212/674-7014,italian,3.3,88.0,2014-05-23,2018-12-05
396,lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian,4.4,167.0,2013-04-11,2014-11-04
397,layla,211 w. broadway at franklin st.,new york,,middle eastern,4.8,64.0,2011-10-27,2014-01-13
398,le chantilly,106 e. 57th st.,new york,212/751-2931,french,4.6,9.0,2015-05-15,2016-02-29
399,le colonial,149 e. 57th st.,new york,212/ 752-0808,asian,4.3,92.0,2017-06-26,2018-08-08
400,le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar,4.3,83.0,2013-11-29,2018-07-10
401,le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,,3.3,96.0,2016-05-27,
402,le madri,168 w. 18th st.,new york,212/727-8022,italian,3.1,-7.0,2013-04-03,2015-11-09
403,le marais,150 w. 46th st.,new york,212/869-0900,american,4.5,,2018-06-13,2023-05-09
404,le perigord,405 e. 52nd st.,new york,212/755-6244,french,4.2,4.0,2017-10-13,2020-12-05
405,le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american,4.9,21.0,2021-07-09,2021-10-21
406,les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french,4.1,35.0,2010-08-21,2012-06-22
407,,51 w. 64th st.,new york,212/721-8271,american,,27.0,,2022-03-22
408,lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american,4.2,94.0,2014-01-31,
409,lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american,4.1,26.0,2010-10-17,2012-01-22
410,mad fish,2182 broadway  between 77th and 78th sts.,new york,212/787-0202,seafood,4.1,,2018-04-12,
411,main street,,new york,212/873-5025,american,4.0,22.0,2012-01-23,2013-12-29
412,mangia e bevi,800 9th ave. at 53rd st.,new york,212/956-3976,italian,4.8,,2012-02-10,2013-08-21
413,manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,new york,212/888-6556,american,4.3,4.0,2021-10-03,2023-11-13
414,,325 e. 14th st.  between 1st and 2nd aves.,new york,212/777-6314,asian,3.9,49.0,2012-08-26,2014-06-03
415,,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,french,,28.0,2016-07-26,2017-10-09
416,marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,212/229-9313,coffee bar,3.3,217.0,2012-05-29,2014-09-18
417,match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,american,,41.0,,2016-03-14
418,matthew's,1030 3rd ave. at 61st st.,new york,212/838-4343,american,4.2,4.0,,2012-07-30
419,mavalli palace,46 e. 29th st.,new york,212/679-5535,asian,4.2,6.0,2010-03-12,2013-03-18
420,milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar,3.7,5.0,2015-09-08,2020-08-08
421,monkey bar,60 e. 54th st.,new york,212/838-2600,american,4.8,23.0,2015-03-18,2018-04-22
422,montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian,4.5,20.0,2010-06-20,
423,morton's,551 5th ave. at 45th st.,new york,212/972-3315,american,4.2,198.0,,2016-03-27
424,,104 w. 57th st.  near 6th ave.,new york,212/581-8030,american,4.2,11.0,2013-04-11,2015-10-03
425,new york kom tang soot bul house,32 w. 32nd st.,new york,212/ 947-8482,asian,3.9,61.0,2016-11-09,2019-04-10
426,new york noodletown,28 1/2 bowery at bayard st.,new york,212/349-0923,asian,5.5,29.0,2021-12-09,2022-10-03
427,newsbar,2 w. 19th st.,new york,212/255-3996,coffee bar,,64.0,2018-04-20,2018-11-25
428,odeon,145 w. broadway at thomas st.,new york,212/233-0507,american,4.5,20.0,2021-01-08,2022-10-28
429,orso,322 w. 46th st.,new york,212/489-7212,italian,4.9,4.0,2012-04-22,2016-11-18
430,osteria al droge,142 w. 44th st.,new york,212/944-3643,italian,4.2,13.0,,2016-03-09
431,otabe,68 e. 56th st.,new york,212/223-7575,asian,4.7,25.0,2019-01-04,2023-03-24
432,pacifica,138 lafayette st.  between canal and howard sts.,new york,212/941-4168,asian,2.8,127.0,2013-09-20,2014-08-29
433,palio,151 w. 51st. st.,new york,212/245-4850,italian,4.5,-14.0,2020-03-09,2022-04-21
434,pamir,1065 1st ave.  at 58th st.,new york,212/644-9258,middle eastern,4.3,14.0,2015-07-26,2018-07-03
435,parioli romanissimo,24 e. 81st st.,new york,212/288-2391,italian,3.3,,2012-05-30,2014-08-17
436,patria,250 park ave. s at 20th st.,new york,212/777-6211,latin american,4.2,21.0,2020-02-19,2022-04-06
437,peacock alley,301 park ave.  between 49th and 50th sts.,new york,212/872-4895,french,4.9,1.0,2016-08-09,2018-06-15
438,pen & pencil,205 e. 45th st.,new york,212/682-8660,american,3.9,9.0,2019-08-19,2019-12-19
439,penang soho,109 spring st.  between greene and mercer sts.,new york,212/274-8883,asian,4.7,73.0,2015-06-06,2019-09-21
440,persepolis,1423 2nd ave.  between 74th and 75th sts.,new york,212/535-1100,middle eastern,-0.5,52.0,2011-07-08,2016-03-07
441,planet hollywood,140 w. 57th st.,new york,212/333-7827,american,4.6,28.0,2018-03-04,2018-08-26
442,pomaire,371 w. 46th st.  off 9th ave.,new york,212/ 956-3055,latin american,4.6,62.0,2011-06-30,2013-08-10
443,popover cafe,551 amsterdam ave.  between 86th and 87th sts.,new york,212/595-8555,american,,101.0,2017-12-17,2020-08-02
444,post house,28 e. 63rd st.,new york,212/935-2888,american,,97.0,2015-01-01,2018-12-08
445,rain,100 w. 82nd st.,new york,212/501-0776,asian,3.4,,2019-07-02,2024-06-06
446,red tulip,439 e. 75th st.,new york,212/734-4893,eastern european,4.3,145.0,2020-06-10,2022-07-27
447,remi,145 w. 53rd st.,new york,212/581-4242,italian,4.5,10.0,2014-11-21,2018-08-26
448,republic,37a union sq. w  between 16th and 17th sts.,new york,212/627-7172,,3.3,77.0,2020-08-02,2025-04-10
449,roettelle a. g,126 e. 7th st.  between 1st ave. and ave. a,new york,212/674-4140,continental,0.0,6.0,2011-05-02,2015-06-30
450,rosa mexicano,1063 1st ave. at 58th st.,new york,212/753-7407,mexican,4.4,13.0,2011-04-16,2012-10-18
451,ruth's chris,148 w. 51st st.,new york,212/245-9600,,4.3,79.0,2021-12-03,2026-01-08
452,s.p.q.r,133 mulberry st.  between hester and grand sts.,new york,212/925-3120,italian,4.0,19.0,2016-11-22,2018-12-31
453,sal anthony's,55 irving pl.,new york,212/982-9030,italian,4.2,18.0,2015-05-30,2015-07-30
454,sammy's roumanian steak house,157 chrystie st. at delancey st.,new york,212/673-0330,east european,4.9,154.0,2011-11-14,2015-09-06
455,san pietro,18 e. 54th st.,new york,212/753-9015,italian,4.5,,2013-06-20,2017-08-27
456,sant ambroeus,1000 madison ave.  between 77th and 78th sts.,new york,212/570-2211,coffee bar,4.5,54.0,2018-03-27,2020-01-02
457,sarabeth's kitchen,423 amsterdam ave.  between 80th and 81st sts.,new york,212/496-6280,american,4.2,104.0,2019-11-11,2022-02-27
458,sea grill,19 w. 49th st.,new york,,seafood,4.5,53.0,2020-12-30,2022-11-14
459,serendipity,3 225 e. 60th st.,new york,212/838-3531,american,4.1,30.0,2014-11-23,2015-07-21
460,seventh regiment mess and bar,643 park ave. at 66th st.,new york,212/744-4107,american,4.4,1.0,2015-06-17,2020-06-05
461,sfuzzi,58 w. 65th st.,new york,212/873-3700,american,4.1,,2011-12-17,2012-02-25
462,shaan,57 w. 48th st.,new york,212/ 977-8400,asian,6.0,66.0,2010-12-31,2013-10-23
463,sofia fabulous pizza,1022 madison ave.  near 79th st.,new york,212/734-2676,italian,3.6,50.0,,2015-05-30
464,spring street natural restaurant & bar,62 spring st. at lafayette st.,new york,212/966-0290,american,6.0,48.0,2016-12-13,2020-06-02
465,stage deli,834 7th ave.  between 53rd and 54th sts.,new york,212/245-7850,delicatessen,3.5,70.0,2011-04-03,2015-10-06
466,stingray,428 amsterdam ave.  between 80th and 81st sts.,new york,212/501-7515,seafood,4.5,9.0,2014-11-26,2018-02-23
467,sweet'n'tart cafe,76 mott st. at canal st.,new york,212/334-8088,asian,4.4,27.0,2017-09-12,2020-10-04
468,t salon,143 mercer st. at prince st.,new york,212/925-3700,coffee bar,4.3,126.0,2019-09-25,2023-11-19
469,tang pavillion,65 w. 55th st.,new york,212/956-6888,asian,4.7,4.0,2021-04-06,2026-02-17
470,tapika,950 8th ave. at 56th st.,new york,212/ 397-3737,american,2.6,177.0,2014-01-31,2018-05-26
471,teresa's,103 1st ave.  between 6th and 7th sts.,,212/228-0604,east european,2.9,84.0,2014-09-13,2015-12-02
472,terrace,400 w. 119th st.  between amsterdam and morningside aves.,new york,212/666-9490,continental,4.2,25.0,2020-07-01,2023-05-08
473,the coffee pot,350 9th ave. at 49th st.,new york,212/265-3566,coffee bar,4.1,,2018-04-27,2022-06-04
474,the savannah club,2420 broadway at 89th st.,new york,212/496-1066,american,4.9,71.0,2013-04-14,2014-10-24
475,trattoria dell'arte,900 7th ave.  between 56th and 57th sts.,new york,212/245-9800,italian,3.9,5.0,2018-03-22,2021-08-14
476,triangolo,345 e. 83rd st.,new york,212/472-4488,italian,3.4,43.0,2011-11-22,2012-01-31
477,tribeca grill,375 greenwich st.  near franklin st.,new york,212/941-3900,american,4.7,56.0,2015-05-23,2019-10-13
478,,154 e. 79th st.  between lexington and 3rd aves.,new york,212/988-4858,coffee bar,4.1,96.0,2013-09-05,2016-10-11
479,tse yang,34 e. 51st st.,new york,212/688-5447,asian,3.9,106.0,2021-11-29,2025-08-23
480,turkish kitchen,386 3rd ave.  between 27th and 28th sts.,new york,212/679-1810,middle eastern,3.2,169.0,2010-06-03,2014-07-23
481,two two two,222 w. 79th st.,new york,212/799-0400,american,4.8,44.0,,2021-06-09
482,veniero's pasticceria,342 e. 11th st.  near 1st ave.,new york,212/674-7264,coffee bar,3.6,113.0,2013-05-17,2015-09-02
483,verbena,54 irving pl. at 17th st.,new york,212/260-5454,american,3.5,17.0,2010-06-08,2014-09-26
484,victor's cafe,52 236 w. 52nd st.,new york,212/586-7714,latin american,4.8,46.0,2017-12-03,2018-10-24
485,vince & eddie's,70 w. 68th st.,new york,212/721-0068,american,4.0,60.0,2018-02-19,2022-04-05
486,vong,200 e. 54th st.,new york,212/486-9592,american,4.7,34.0,2011-09-16,2013-03-16
487,water club,500 e. 30th st.,new york,212/683-3333,american,2.9,-16.0,,2013-05-15
488,west,63rd street steakhouse 44 w. 63rd st.,new york,212/246-6363,american,4.6,138.0,2011-05-04,2013-12-04
489,xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,mediterranean,,63.0,,2018-05-13
490,zen palate,34 union sq. e at 16th st.,new york,212/614-9291,and 212/614-9345 asian,4.5,40.0,2011-08-04,2015-10-13
491,zoe,90 prince st.  between broadway and mercer st.,new york,212/966-6722,american,4.0,130.0,2018-06-09,2020-03-26
492,abbey,163 ponce de leon ave.,atlanta,404/876-8532,international,3.9,142.0,2010-12-06,2011-11-09
493,aleck's barbecue heaven,783 martin luther king jr. dr.,atlanta,404/525-2062,barbecue,3.3,49.0,,2021-08-16
494,annie's thai castle,3195 roswell rd.,atlanta,404/264-9546,asian,4.3,39.0,2020-06-30,2023-08-02
495,anthonys,3109 piedmont rd.  just south of peachtree rd.,atlanta,404/262-7379,american,4.6,99.0,2018-08-08,2022-05-16
496,atlanta fish market,265 pharr rd.,atlanta,404/262-3165,american,4.4,160.0,2021-05-01,2025-02-11
497,beesley's of buckhead,,atlanta,404/264-1334,continental,4.7,33.0,2021-04-09,2023-01-09
498,bertolini's,3500 peachtree rd.  phipps plaza,atlanta,404/233-2333,italian,4.0,35.0,2010-07-24,2015-03-30
499,bistango,1100 peachtree st.,atlanta,404/724-0901,mediterranean,4.4,104.0,2014-02-07,2014-08-05
500,cafe renaissance,7050 jimmy carter blvd.  norcross,atlanta,770/441--0291,american,4.8,41.0,2019-02-14,2019-10-11
501,camille's,1186 n. highland ave.,atlanta,404/872-7203,italian,3.8,,2014-01-28,2014-04-12
502,cassis,3300 peachtree rd.  grand hyatt,atlanta,404/365-8100,mediterranean,3.6,63.0,2018-11-05,2023-06-24
503,city grill,50 hurt plaza,atlanta,404/524-2489,international,4.6,8.0,2019-04-17,2020-04-04
504,coco loco,40  buckhead crossing mall on the sidney marcus blvd.,atlanta,404/364-0212,caribbean,4.6,52.0,2021-12-18,
505,colonnade restaurant,1879 cheshire bridge rd.,atlanta,404/874-5642,southern,4.7,6.0,2013-12-16,2018-01-13
