Book-Title,Book-Author,Publisher
"Baby of Fortune (Silhouette Desire, No. 1384)",Shirley Rogers,Silhouette
Counted-Thread Embroidery,Helen Fairfield,St Martins Pr
RÃ¶slein rot: Roman,Ingrid Noll,Diogenes
Tek Power,William Shatner,Ace Books
"In Praise Of Younger Men (Harlequin Temptation, No 532)",Lyn Ellis,Harlequin
Das neue Bach - BlÃ?Â¼ten- Buch.,GÃ?Â¶tz Blome,Vak-Verlag
Im Atemhaus wohnen: Gedichte,Rose AuslÃ¤nder,Fischer Taschenbuch Verlag
"Life, the Universe and Everything",Douglas Adams,Ballantine Books
"Wilde 'N' Wonderful (Temptation, No 209)",Joann Ross,Harlequin
Erotic Poems (Everyman's Library Pocket Poets),Peter Washington,Everyman Publishers
Circus,Alistair Maclean,Ballantine Books
Patriot,Pearl S. Buck,Harpercollins
The Unseen Battle,Donna A. Hubbard,New Life Publishers
Ghost Children (Adrian Mole Diaries),Sue Townsend,Soho Press
The Little Engine That Could (Board Book),Watty Piper,Platt &amp; Munk
Open Ended Stories,Velder  &amp;,Pearson Prentice Hall
The Invitation (Mustard Seed),Nancy Moser,Multnomah
Rough As a Cob: More from the Juliette Journals,Ed Williams,River City Publishing
The Blue Day Book: A Lesson in Cheering Yourself Up,Bradley Trevor Greive,Random House Australia
The Magic Mountain,THOMAS MANN,Knopf
The Penguin Book of Contemporary New Zealand Short Stories,Susan Davis,Penguin USA
Horse People: Scenes from the Riding Life,Michael Korda,HarperCollins
The case of the backward mule,Erle Stanley Gardner,Aeonian Press
Joe's Word : An Echo Park Novel (City Lights Noir),Elizabeth Stromme,City Lights Books
"The Screenwriter's Bible: A Complete Guide to Writing, Formatting, and Selling Your Script",David Trottier,Silman-James Press
Telling Stories,Valerie Windsor,Sinclair Stevenson
Extension Du Domain De La Lutte,Michel Houellebecq,European Book Co
Your Perfect Right: A Guide to Assertive Living,Robert E. Alberti,Impact Pub
Starswarm: A Jupiter Novel,Jerry Pournelle,Tor Books
"Dorothy Parker, What Fresh Hell Is This?",Marion Meade,Penguin Books
Corrections: A Comprehensive View,Ira Silverman,Wadsworth Publishing
Turn of the Century,Kurt Andersen,Delta
Protect and Defend,Richard North Patterson,Random House Inc
Amate a TI Mismo: Cambiaras Tu Vida : Manual De Trabajo/141,Louise L. Hay,Ediciones Urano
Way of Life,Tzu Lao,Signet Book
A Cat in Fine Style: An Alice Nestleton Mystery (Alice Nestleton Mysteries (Paperback)),Lydia Adamson,Signet Book
"Lies We Live By : Defeating Doubletalk and Deception in Advertising, Politics, and the Media",Carl Hausman,Routledge
Dead Midnight (Sharon McCone Mysteries (Hardcover)),Marcia Muller,Mysterious Press
Martians in Maggody: An Arly Hanks Mystery (Arly Hanks Mysteries (Paperback)),Joan Hess,Onyx Books
Many Masks: A Life of Frank Lloyd Wright,Brendan Gill,Da Capo Press
Highlands of Scotland (Colin Baxter gift book series),Colin Baxter,C. Baxter Photography
The wonderful world of Barry McKenzie; (A Gnome book),Barry Humphries,Macdonald &amp; Co
Les aventures del cavaller Kosmas (ColÂ¨lecciÃ³ Ramon Llull. SÃ¨rie NovelÂ¨la),Juan Perucho,Planeta
"Out of Reach (Sweet Valley High, No 50)",Francine Pascal,Sweet Valley
Open Heart,Abraham B. Yehoshua,Bantam Dell Pub Group
Beer-Can Chicken: And 74 Other Offbeat Recipes for the Grill,Steven Raichlen,Workman Publishing
Das Haus der Harmonie.,Barbara Wood,"Fischer (Tb.), Frankfurt"
The Oxford Book of Australian Love Poems,Jennifer Strauss,OUP Australia and New Zealand
Witches Don't Do Backflips (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,Scholastic
"Revolutionary War On Wednesday (Magic Tree House 22, paper)",Mary Pope Osborne,Random House Children's Books
The little calf that couldn't moo (A First little golden book),Iris Hiskey,Western Pub. Co
"Boys, Bombs and Brussels Sprouts (Goodread Biographies)",J. Douglas Harvey,Goodread Biography
Statues in a Garden,Isabel Colegate,Avon
Border Heat: Pasion En LA Frontera (Encanto (English)),Hebby Roman,Kensington Publishing Corporation
An Inquiry into the Nature and Causes of the Wealth of Nations/2 Volumes in 1,Adam Smith,University of Chicago Press
"Strategy For Marriage  (Contract Brides) (Romance, 3707)",Margaret Way,Harlequin
Politics in Black and White,Raphael J. Sonenshein,Princeton University Press
"The Stairway to Heaven (Earth Chronicles, No. 2)",Zecharia Sitchin,Avon
Der Taucher und das Weh der See. Bekanntschaften mit Menschen und Tieren.,Alfred Kerr,"Fischer (Tb.), Frankfurt"
Landscape Graphics,Grant W. Reid,Watson-Guptill Publications
Busy Timmy (First Little Golden Book),Kathryn Jackson,Golden Books
Disclosure,Michael Crichton,Random House Audio Publishing Group
Iconography: A Writer's Meditation,Susan Neville,Indiana University Press
Byron (Oxford Authors),Jerome McGann,Oxford Univ Pr (Sd)
Search for Grissi,Mary Shura,Harpercollins Juvenile Books
The Mercenary's Kiss (Historical),Pam Crooks,Harlequin
Silencing the Voices: One Woman's Triumph over Multiple Personality Disorder,Jean Darby Cline,Berkley Publishing Group
Caravan of Dreams,Idries Shah,"Octagon Press, Limited"
Tart Noir,Stella Duffy,Berkley Publishing Group
"In whose best interest?: One child's odyssey, a nation's responsibility",John Seita,Continental Press
Returning to A,Dorien Ross,City Lights Publishers
Nanda Devi: The Tragic Expedition,John Roskelley,Mountaineers Books
Barney's Halloween Party,Mary Ann Dudko,Barney Publishing
The True Sources of the Nile : A Novel,SARAH STONE,Doubleday
Shyness : A Bold New Approach,Bernardo J. Carducci Ph.D.,Perennial
Silent Night/All Through the Night : Two Christmas Novels,Mary Higgins Clark,Simon &amp; Schuster
The Illustrated Virago Book of Women Travellers,Mary Morris,Virago Press (UK)
Algebra and Trigonometry,Max A. Sobel,Prentice Hall
The Penguin History Of The Twentieth Century (Allen Lane History S.),J. M. Roberts,Penguin Books
The Best Treatment,Isadore Rosenfeld,Bantam Books
The Silver Sun,Nancy Springer,ereads.com
The House of Gentle Men,Kathy Hepinstall,William Morrow
Crimson Kisses,Asa Drake,Harper Mass Market Paperbacks (Mm)
Haunting of Sylvia Plath (Convergences),Jacqueline Rose,Harvard University Press
Shadowland,Peter Straub,Berkley Publishing Group
Lou Reed and the Velvet Underground,Diana Clapton,Music Sales Corporation
ELEGY IN A COUNTRY GRAVEYARD : ELEGY IN A COUNTRY GRAVEYARD,Audrey Peterson,Pocket
Hardware,Linda Barnes,Bantam Dell Pub Group
Mel's Diner,Marissa Moss,Bridgewater Books
El oro de los sueÃ±os (Leer en espaÃ±ol nivel 4),Jose Maria Merino,Santillana USA Publishing Company
Liberty!: The American Revolution,Thomas Fleming,Viking Books
La Marquise Des Ombres,Hermary-Vieille,Editions Flammarion
Dirk Gently's Holistic Detective Agency,Douglas Adams,Pocket Books
Flowers for the Judge,Margery Allingham,Bantam
101 Essential Tips: Chicken,Anne Willan,Dorling Kindersley Publishing
Morevi: The Chronicles of Rafe and Askana,Lisa Lee,Dragon Moon Press
The Cat Who Wished to Be a Man,Lloyd Alexander,Penguin USA
"Remember Me (Dear Diary, No 2)",Cheryl Lanham,Berkley Publishing Group
Las Palabras Andantes,Eduardo Galeano,"Siglo XXI Editores, S. A. de C. V."
Part of the Bargain,Linda Lael Miller,Mira Books
Moonbeams Aplenty (Western Lovers - Denim &amp; Diamonds),Mary Lynn Baxter,Silhouette
Daisy-Head Mayzie,DR SEUSS,Random House Books for Young Readers
Islam for Dummies,Malcolm  Clark,For Dummies
David Malouf: Selected Poems (A &amp; R Modern Poets),David Malouf,Harpercollins
Dave Barry Hits Below the Beltway: A Vicious and Unprovoked Attack on Our Most Cherished Political Institutions,Dave Barry,Ballantine Books
Le Gette's Calorie Encyclopedia,Bernard Le Gette,Warner Books
The garden of earthly delights,Nicholas Salaman,HarperCollins ;
Never Let Me Go,Tim Kincaid,Kensington Publishing Corporation
Not Fade Away,Laurence Shames,Rodale Books
Regrets Only,Nancy Geary,Warner Books
Puck of Pook's Hill (Puffin Classics),Rudyard Kipling,Puffin Books
The Observer's Book of Pond Life,John Clegg,Godfrey Cave / Claremont
"Coin of the Realm (Destroyer, No 77)",Warren Murphy,New Amer Library (Mm)
Jungles &amp; rain forests (Explorer books),Julia L Andrews,Trumpet Club
Food and Feast in Tudor England,Alison Sim,"Alan Sutton Publishing, Ltd."
The Rough Guide to Venice and the Vento (Rough Guide Venice),Johathan Buckley,Rough Guides Limited
Mountain Thunder (Mountain Country),John Legg,Harper Mass Market Paperbacks (Mm)
"Jenseits Von Afrika (Fiction, Poetry and Drama)",Blixen,Wilhelm Heyne Verlag GmbH &amp; Co KG
The Stars Will Speak,George Zebrowski,HarperCollins Publishers
Tears of Gold,Laurie McBain,Harper Mass Market Paperbacks (Mm)
Preparing for Adolescence,James C. Dobson,Bantam Books
The Night of Wenceslas (Perennial Library Mystery Series),Lionel Davidson,HarperCollins Publishers
"Living a Beautiful Life: Five Hundred Ways to Add Elegance, Order, Beauty and Joy to Every Day of Your Life",Alexandra Stoddard,Random House
Dream Chasers,Anne McAllister,Harlequin Books
The Murderers (Badge of Honor Novels (Hardcover)),W. E. B. Griffin,Severn House Publishers
Texas Wedding,Catherine Creel,Ivy Books
Kids Are Authors: Band of Coyotes,Scholastic,Scholastic
"Shadow Between (Silhouette Desire, No 257)",Diana Stuart,Silhouette
Dinosaurs! : A Drawing Book (Reading Rainbow),Michael Emberley,"Little, Brown"
Success: One Day At A Time,John Maxwell,J Countryman Books
Pushcart's Complete Rotten Reviews &amp; Rejections,Bill Henderson,Pushcart Press
Dictionary of Medical Terms for the Nonmedical Person (Barron's Educational),Mikel A. Rothenberg,Barrons Educational Series Inc
The Bridge Across Forever,Richard Bach,Dell
Astounding Analog Reader,Harry Harrison,Doubleday
Slam Book,Ann M. Martin,Scholastic
Abel Sanchez,Miguel De Unamuno,Continental Book Co Inc
"Acog Guide to Planning for Pregnancy, Birth, and Beyond",Not Applicable (Na ),Amer College of Obstetricians &amp;
Food for the Hungry Heart: Daily Devotions for Overeaters (Serenity Meditation Series),Cynthia Rowland McClure,Thomas Nelson Inc
Healing With the Angels: How the Angels Can Assist You in Every Area of Your Life,Doreen Virtue,Hay House
Stone Virgin,Barry Unsworth,W. W. Norton &amp; Company
Just Plain Cat,Nancy K Robinson,Scholastic Inc
Have You Felt Like Giving Up?,Wilkerson,Baker Book House
Tam Lin (The Fairy Tale Series),Pamela Dean,Tor Books (Mm)
The Performing Arts Major's College Guide,Carole J. Everett,John Wiley &amp; Sons
"The Sacred Hills (Spanish Bit 72 Saga Book, No 8)",Don Coldsmith,Bantam Books
The Race to the White Continent: Voyages to the Antarctic,Alan Gurney,W.W. Norton &amp; Company
Moonfleet (Watermill Classics),J. Meade Falkner,Troll Communications
Sniper,Theodore Taylor,HarperTrophy
Wittgenstein in 90 Minutes (Philosophers in 90 Minutes),Paul Strathern,Ivan R. Dee Publisher
Indisches NachtstÃ?Â¼ck und ein Briefwechsel.,Antonio Tabucchi,Dtv
Eine Mittelgewichts - Ehe. Roman.,John Irving,Diogenes Verlag
Lay Aside the Weight,T. D. Jakes,Bethany House Publishers
Der Adler der Neunten Legion,Rosemary Sutcliff,Dtv
Agatha Raisin and the Wizard of Evesham,M. C. Beaton,St Martins Pr
Frogs into Princes: Neuro Linguistic Programming,Richard Bandler,Nlp Comprehensive
The Usborne First Book of the Recorder,Phillip Hawthorn,E D C Pub
The Kingfisher Book of Toy Stories,Laura Cecil,Kingfisher
"The Real State of the Union: From the Best Minds in America, Bold Solutions to the Problems Politicians Dare Not Address (New America Book)",Ted Halstead,Basic Books
Precision Kill  (Superbolan #46) (Don Pendleton),MacK Bolan,Gold Eagle
Auf dÃ?Â¼nnem Eis.,Jenny Siler,Goldmann
No Logo.,Naomi Klein,Riemann Verlag
1000 Gefahren. Die Spur des BÃ?Â¤ren. ( Ab 10 J.).,R. A. Montgomery,Ravensburger Buchverlag
Quantum Leap: Too Close for Comfort (Quantum Leap),Ashley McConnell,Ace Books
The Red Sea Sharks (The Adventures of Tintin),Herge,"Little, Brown"
How Managers Make Things Happen,G. S. Odiorne,Prentice Hall
"Jerusalem: One City, Three Faiths",Karen Armstrong,Ballantine Books
Dans le torrent des siecles,Clifford D. Simak,J'ai lu
Best Little Boy in the World,John Reid,Ballantine Books
The Good Apprentice,Iris Murdoch,Penguin Books
A la poursuite d'Octobre rouge,Tom Clancy,Albin Michel
Devil's Gonna Get Him (Tamara Hayle Mystery),Valerie W. Wesley,Avon
Stay,Aislinn Hunter,Raincoast Books
"Chippendales, The Naked Truth",Troy Kline,Pacifica Pub
"Painted Rocks (With Sticker, Paint Brush and Paint Pots)",Klutz,Klutz Press
Wheels,Arthur Hailey,Bantam Books
Spiritual Recovery: A Twelve-Step Guide,Grant R. Schnarr,Chrysalis Books
The NEW COMICS,Bob Callahan,Scribner Paper Fiction
Sea Creatures Do Amazing Things (Step-Up Books),Arthur Myers,Random House Children's Books
The Phoenix Code,Catherine Asaro,Spectra Books
True stories: Selected non-fiction,Helen Garner,Text Pub
No One Dies in Branson (Dead Letter Mystery),Kathryn Buckstaff,St Martins Pr
A Rambler's Guide to the Trails of the East Bay Hills/Map: Northern Section,Gerald Olmsted,Olmsted Brothers Map Company
Illuminations et nuits blanches,Carson McCullers,Editions 10/18
A Family Affair (A Zebra Regency Romance),Cathleen Clare,Kensington Publishing Corporation
Mr. Personality: Profiles and Talk Pieces,Mark Singer,Simon &amp; Schuster
Gulliver's Travels,Jonathan Swift,Signet Book
The Hawthorne Group,Thomas Hauser,Tor Books
Bliss &amp; Other Stories (Wordsworth Collection),Katherine Mansfield,NTC/Contemporary Publishing Company
Coldheart Canyon: A Hollywood Ghost Story,Clive Barker,HarperCollins Publishers
Colors (Active Minds),George Siede,Publications International
Laughter/Best Medicin,Readers Digest,Berkley Publishing Group
Surprised by Truth 3: 10 More Converts Explain the Biblical and Historical Reason for Becoming Catholic,Patrick Madrid,Sophia Institute Press
Fashionably Late,Olivia Goldsmith,Harper Audio
Barney &amp; Baby Bop Go to the Restaurant (Go To... (Barney)),Maureen M. Valvassori,Barney Publishing
POSTCARDS FRM EDGE,Angela Fisher,Pocket
Man of Teak (Harlequin Romance Series),Sue Peters,Harlequin Books
22 Days in Great Britain: The Itinerary Planner,Rick Steves,John Muir Publications
"Daisy Says \Here We Go Round the Mulberry Bush\"" (Daisy)""",Jane Simmons,"Little, Brown"
Opportunities: A Handbook of Business Opportunity Search,Edward De Bono,Penguin USA
Aperture Issue 92 (Fine Photography Series),Ray Metzker,Aperture
Official Netscape Communicator 4 Professional Edition Book,Phil James,Ventana Communications Group
Naval Battles of the First World War (Classic Military History),Geoffrey Bennett,Penguin Books
"SPQR VI: Nobody Loves a Centurion (Decius Metellus, 6)",John Maddox Roberts,St. Martin's Griffin
Triplet Trouble and the Pizza Party (Triplet Trouble),Debbie Dadey,Scholastic
"Muera la inteligencia! Viva la muerte!: Salamanca, 1936, Unamuno y MillÃ¡n Astray frente a frente (Memoria de la historia)",Carlos Rojas,Planeta
The Keepsake,Paul Huson,Warner Books
HTML 4.0 CD with JavaScript,Vivian Neou,Prentice Hall PTR
Quake!,Joe Cottonwood,Scholastic
The African-American Kitchen: Cooking from Our Heritage,Angela Shelf Medearis,Plume Books
"On Becoming Baby Wise: Learn How over 500,000 Babies Were Trained to Sleep Through the Night the Natural Way",Gary Ezzo,Multnomah Pub
The Adventures of Tom Sawyer,Samuel L. Clemens,Pendulum Press
Lady Crymsyn (The Vampire Files),P. N. Elrod,Ace Books
"Wer Hat Dich, Du Schoner Wald...",Marcks,Rowohlt Taschenbuch Verlag GmbH
The House in Norham Gardens,Penelope Lively,Penguin USA
Doctor Dolittle's Circus,Hugh Lofting,Yearling Books
Art and Lies Edition,Jeanette Winterson,Trafalgar Square
"Having It All (Family Man) (Superromance , No 800)",Roz Denny Fox,Harlequin
Historia Do Cerco De Lisboa,Jose Saramago,Editorial Caminho
America : A Patriotic Primer,Lynne Cheney,Simon &amp; Schuster Children's Publishing
Dare to Dream/Tragedy and Triumph: The Heroic Struggle of an Olympic Champion,Tim Daggett,Baker Pub Group
Every day of the week: An Alan Sillitoe reader,Alan Sillitoe,W.H. Allen
Les semeurs de la pleine lune: Roman,AndrÃ© Dubreuil,Pygmalion/GÃ©rard Watelet
"Murder at Hockey Camp (#4) (Macgregor, Roy, Screech Owls Series.)",ROY MACGREGOR,Screech Owls
New All American Color Cookbook,Mary Lambert,Marshall Cavendish+corp
Owen Meany. Roman.,John Irving,Diogenes Verlag
Road to Hell,Pawson,Trafalgar Square
Silence in October,Jens Christian Grondahl,Harvest Books
Courting Julia (Signet Regency Romance),Mary Balogh,Signet Book
The Divine Comedy : Paradise,Dante Alighieri,Penguin Books
The Mary Celeste,Brian Freemantle,Severn House Publishers
Brothers in Arms (Brothers in Arms),Courtney Bishop,Lynx Books
If You Were Kermit (Golden Look-Look Books),Bonnie Worth,Golden Books
"Jenni Finds A Father (Silhouette Special Edition, No 941)",Brittany Young,Silhouette
This Accursed Land,Lennard Bickel,Birlinn Limited
Surfing Through Hyperspace: Understanding Higher Universes in Six Easy Lessons,Clifford A. Pickover,Oxford University Press
Was ist AufklÃ¤rung?: Thesen u. Definitionen (Universal-Bibliothek),Ehrhard Bahr,Reclam
Sostiene Pereira,Antonio Tabucchi,Anagrama
Quietus,Vivian Schilling,Hannover House USA
Tantalus Zero,Marshall Moore,Libertine Media
Palindrome (Wheeler Large Print Book Series (Paper)),Stuart Woods,Wheeler Publishing
GesprÃ?Â¤che ( Lun- Yu).,Konfuzius,"Reclam, Ditzingen"
Dragon Rescue,Don Callander,Ace Books
"Seeds of Love: Part 1 of \The Shadow of the Elephant\""""",Valerie Georgeson,Time Warner Books UK
"Irresistible You (Man Of The Month) (Silhoutte Desire, No 1333)",Barbara Boswell,Silhouette
Sea Monsters: Ancient Reptiles That Ruled the Sea,David Eldridge,Troll Communications Llc
Book of Dreams,Jack Kerouac,Consortium Book Sales &amp; Dist
Mousekin's Thanksgiving,Edna Miller,Simon &amp; Schuster
Alfons Mucha,Taschen Publishing,Benedikt Taschen Verlag
"Kenobi's Blade (Star Wars: Junior Jedi Knights, Book 6)",Rebecca Moesta,Berkley Publishing Group
Cross and the Switchblade,David Wilkerson,Jove Books
Close Encounters,Sandra Kitt,Signet Book
Feuer des Herzens. Briefe an eine Freundin.,Susanna Tamaro,Pattloch
Break the Dealer: Winning Strategies for Today's Blackjack,Jerry Patterson,Berkley Pub Group
Only You,Elizabeth Lowell,Avon
"Mozartiana: Two Centuries of Notes, Quotes, and Anecdotes About Wolfgang Amadeus Mozart",Joseph Solman,Walker &amp; Company
Red Snow,Edward Topol,New American Library
King of Hearts: The Gamblers (Zebra Ballad Romance),Pat Pritchard,Zebra Books
Itaca Per Sempre,Luigi Malerba,Mondadori (IT)
A Star in Winter: A Novel,Anita Stansfield,Covenant Communications
"Muerte De Un Forense (Fiction, Poetry and Drama)",James,"Ediciones B, SA"
Pequeno Tratado de Accion,Denise Desjardins,Olaneta
Wingman,Daniel Pinkwater,Skylark Books
Is He Gay? : For Every Woman Who's Met the Ideal Man and is Wondering...Why Hasn't he Tried to Kiss Me?,Ed Baker,Fireside
House of Steps: Finding the Path Home,Amy Blackmarr,Penguin USA
Meeting with the Past,Caroline Halter,Jove
"ArsÃ?Â¨ne Lupin, gentleman-cambrioleur",Maurice Leblanc,LGF
Scholastic Book of World Records 2004 (Scholastic Book of World Records),Jenifer Corr Morse,Scholastic Reference
A Dog Called Demolition,Robert Rankin,"Acacia Press, Inc."
The Concubine's Children/the Story of a Chinese Family Living on Two Sides of the Globe,Denise Chong,Penguin USA
"The Party (18 Pine St No, 2)",Walter Dean Myers,Bantam Books
Searching for Caleb,Anne Tyler,Ivy Books
Illusions,Katherine Stone,Zebra Books (Mass Market)
The Sufi Fiddle,Richard Bulliet,St Martins Pr
Writing and reading across the curriculum,Laurence Behrens,"Little, Brown"
Michael McDowell's Blackwater II: The Levee (His Blackwater),Michael McDowell,Avon Books
Consider the Change: The Choice Is Yours,Lee Silverstein,Hci
The Heart and Soul of Nick Carter: Secrets Only a Mother Knows,Jane Carter,Onyx Books
Le DÃ?Â©mon du passÃ?Â©,Mary Higgins Clark,LGF
The Insider: A Novel,Jeff Nesbit,Zondervan
Travelers' Tales - Women in the Wild,Lucy McCauley,Travelers' Tales Guides
The Scientist in the Crib : What Early Learning Tells Us About the Mind,Alison Gopnik,Perennial
The Madness Season,C.S. Friedman,Daw Books
The Icarus Paradox: How Exceptional Companies Bring About Their Own Downfall,Danny Miller,Harpercollins
"Efecto Practica, El",David Brin,Ediciones B
"Chroniques. 1, Le progrÃ?Â¨s fait rage",Philippe Meyer,Gallimard
How to Be a Chicana Role Model,Michele Serros,Riverhead Books
All Smiles,Bruce Velick,Chronicle Books
A Day at the Fair (Alf),Johnson Hill,Holmes &amp; Meier Publishers
The Woman's Comfort Book : A Self-Nurturing Guide for Restoring Balance in Your Life,Jennifer Louden,HarperSanFrancisco
Chocolate For A Teens Soul : Lifechanging Stories For Young Women About Growing Wise And Growing Strong,Kay Allenbaugh,Fireside
MASTER SPACE TIME,Rudy Rucker,Baen
Biggie and the Fricasseed Fat Man (Biggie Weatherford),Nancy Bell,St. Martin's Minotaur
The Case of the Sea World Adventure (The Adventures of Mary Kate and Ashley),Cathy East Dubowski,Scholastic
The Literature of Terror: A History of Gothic Fictions from 1765 to the Present Day,David Punter,Longman Publishing Group
Beloved (Penguin Great Books of the 20th Century),Toni Morrison,Penguin Books
To the Devil a Daughter,Denis Wheatley,Mandarin
Final Diagnosis: A Sector General Novel,James White,Tor Books
Catch the Ball! (Play-and-Read Book),Eric Carle,Cartwheel Books (Scholastics)
4 Months to A 4 Hour Marathon,Dave Kuehls,Perigee Books
The Belles Lettres Papers,Charles Simmons,Penguin USA
Renaissance Cross Stitch Samplers,Angela Wainwright,Sterling Pub Co Inc
"SECRET OF SIGMA SEVEN (HARDY BOYS 110) : SECRET OF SIGMA SEVEN (Hardy Boys, The)",Franklin W. Dixon,Aladdin
GefÃ?Â¤hrliche Verstrickung.,Nora Roberts,Heyne
Amelia,Siobhan Parkinson,O'Brien Press
Camping adventure (Books for young explorers),William R Gray,National Geographic Society
Animal Farm (Bridge),Naura Hayden,Longman Group United Kingdom
"Run With the Hunted : Charles Bukowski Reader, A",Charles J. Bukowski,Perennial
LEGACY OF THE ROSE : LEGACY OF THE ROSE,Kasey Michaels,Pocket
How to Calm Down: Three Deep Breaths to Peace of Mind,Fred L. Miller,Warner Books
Landscaping (Home Repair and Improvement),Time-Life Books,Time-Life Books
The Bishop and the Missing L Train (Blackie Ryan),Andrew M. Greeley,Forge Books
Alistair Maclean's Dead Halt : Dead Halt,Alistair MacNeill,HarperTorch
Who Moved My Soap? : The CEO's Guide to Surviving in Prison,Andy Borowitz,Simon &amp; Schuster
Ich stand auf Schindlers Liste. Lebenswege der Geretteten.,Elinor J. Brecher,LÃ?Â¼bbe
Tony Couch's Keys to Successful Painting,Tony Couch,F &amp; W Pubns
Silas Marner,George Eliot,Signet Book
Small Ceremonies,Carol Shields,Penguin Books
Silent Son,Gallatin Warfield,Warner Books
"5,000 One and Two Liners for Any and Every Occasion",Leopold Fechtner,Prentice Hall Art
Elvis in the Morning,William F. Buckley Jr.,Harcourt
Love Me Tomorrow,Rosalind Carson,Harlequin
Margaret's Moves,Berniece Rabe,Scholastic Paperbacks (Mm)
50 Country Quilting Projects,Margit Echols,St Martins Pr
Reaching for the Invisible God,Philip Yancey,Zondervan Publishing Company
The Squishy Prince (Bump in the Night),Michael Novak,Random House Childrens Books
The Late Night Muse: A Novel,Bette Pesetsky,Harpercollins
Mercy of a Rude Stream/Limited Edition,Henry Roth,St Martins Pr
Second-Hand Dog : How to Turn Yours into a First-Rate Pet (Howell Reference Books),Carol Lea  Benjamin,Howell Book House
The Best of Lord Krishna's Cuisine: Favorite Recipes from the Art of Indian Vegetarian Cooking,Yamuna Devi,Plume Books
"Kidnapped Bride (Harlequin Desire, No 1103)",Metsy Hingle,Silhouette
"Braving Home: Dispatches from the Underwater Town, the Lava-Side Inn, and Other Extreme Locales",Jake Halpern,Houghton Mifflin Company
Dinastia/Dynasty,Eileen Lottman,Lectorum Pubns (Adult)
Mica Highways,William Elliott Hazelgrove,Bantam Dell Pub Group
Who Hid the Honey?: Roly Poly Lift the Flaps (Lift the Flaps.),Lisa Ann Marsoli,Disney Press
The Border Hostage,Virginia Henley,Delacorte Press
"Hook Up, Get Hired!: The Internet Job Search Revolution",Joyce Lain Kennedy,John Wiley &amp; Sons
Bodies of Evidence,Brian Innes,Bookmart
Danny Hill: Memoirs of a Prominent Gentleman,Francis King,Gay Men's Press
Cold Day in July,Stella Cameron,Zebra Books
Open Wings (Open Wings),Barbara Cartland,Jove Books
Surviavlist #15 Overlord,Jerry Ahern,Zebra Books
Hawaii 50 A Day,Hammel,Prentice Hall
Prayer Walking: A Simple Path to Body and Soul Fitness,Linus Mundy,Abbey Press
Mountain Solitudes: Solo Journeys in the Southern Alps of New Zealand,Aat Vervoorn,Craig Potton Publishing
Monster Mission,Eva Ibbotson,Pan Macmillan
"Volan Curse (Silhouette Shadows, No 27035)",Jane Toombs,Silhouette
Gateways #7:  What Lay Beyond (Star Trek),Diane Carey,Star Trek
The Official Sandbagger's Handbook: A Guide to Making Money on the Golf Course the Easy Way,Bob Peck,Andrews McMeel Pub
La mission des flammes,Louis-StÃ?Â©phane Ulysse,J'ai lu
Anthropology and the Human Experience,Edward Adamson Hoebel,McGraw-Hill Companies
"Darling Jasmine (Small, Bertrice. Glenkirk Chronicles.)",Bertrice Small,Kensington Pub Corp
Exquisite,Joan Overfield,Kensington Pub Corp
A Baker's Field Guide to Christmas Cookies,Dede Wilson,Harvard Common Press
Saint Maybe,Anne Tyler,Random House Inc
Outrageous Fortune,Meredith Land Machin,New American Library
Bandits,Elmore Leonard,Perennial
Red Dwarf Programme Guide,Chris Howarth,London Bridge
Windows XP for Dummies,Andy  Rathbone,For Dummies
The Winter of the Owl,June Hanson,Scholastic Paperbacks (Mm)
Death of a Baritone (Music Lover's Mysteries),Karen Sturges,Bantam Books
Seeds of Magick: An Expose of Modern Occult Practices,Catherine Summers,Llewellyn Pubns
Dolce Vita,Iseult Teran,HarperCollins Publishers
Everybody's Daughter (Sandpiper Houghton Mifflin Books),Marsha Qualey,Houghton Mifflin Co (Jp)
High Hopes for Addy (American Girls Short Stories),Connie Rose Porter,Pleasant Company Publications
Hide the Baron,John Creasey,Walker &amp; Company
"Cassell's French Dictionary : French-English, English-French",Denis  Girard,John Wiley &amp; Sons
Piranha to Scurfy and Other Stories,Ruth Rendell,Random House Uk
"WIDE OPEN SPACES - HOME ON THE RANCH (Harlequin Superromance, No. 1046)",Roz Denny Fox,Harlequin
The Living Pond: Water Gardens with Fish &amp; Other Creatures,Helen Nash,Sterling Publishing
The Kenneth Williams letters,Kenneth Williams,HarperCollins
The Divided Heart,Susan Bowden,Bantam Books
Giants Star,James Hogan,Ballantine Books
No More Monsters for Me! (I Can Read Book 1),Peggy Parish,HarperTrophy
X Files YA #02 Eve (X Files YA),Ellen Steiber,HarperEntertainment
The Death of Mr Love,Indra Sinha,Simon &amp; Schuster (Trade Division)
What Color Is Your Parachute? 1999: A Practical Manual for Job-Hunters &amp; Career-Changers (Paper),Bolles Richard Nelson,Ten Speed Pr
Knowledge of Angels,Jill Paton Walsh,Houghton Mifflin Company
The Book of Paper Quilling: Techniques &amp; Projects for Paper Filigree,Malinda Johnston,Sterling Pub Co Inc
"Tower Of Shadows (Postcards From Europe) (Harlequin Presents, No 1708)",Sara Craven,Harlequin
"The Veil of a Thousand Tears (The Pearl Saga, Book 2)",Eric Van Lustbader,Tor Fantasy
