Book-Title,Book-Author,Publisher
"Baby of Fortune (Silhouette Desire, No. 1384)",Shirley Rogers,Silhouette
Counted-Thread Embroidery,Helen Fairfield,St Martins Pr
RÃ¶slein rot: Roman,Ingrid Noll,Diogenes
Tek Power,William Shatner,Ace Books
"In Praise Of Younger Men (Harlequin Temptation, No 532)",Lyn Ellis,Harlequin
Das neue Bach - BlÃ?Â¼ten- Buch.,GÃ?Â¶tz Blome,Vak-Verlag
Im Atemhaus wohnen: Gedichte,Rose AuslÃ¤nder,Fischer Taschenbuch Verlag
"Life, the Universe and Everything",Douglas Adams,Ballantine Books
"Wilde 'N' Wonderful (Temptation, No 209)",Joann Ross,Harlequin
Erotic Poems (Everyman's Library Pocket Poets),Peter Washington,Everyman Publishers
Circus,Alistair Maclean,Ballantine Books
Patriot,Pearl S. Buck,Harpercollins
The Unseen Battle,Donna A. Hubbard,New Life Publishers
Ghost Children (Adrian Mole Diaries),Sue Townsend,Soho Press
The Little Engine That Could (Board Book),Watty Piper,Platt &amp; Munk
Open Ended Stories,Velder  &amp;,Pearson Prentice Hall
The Invitation (Mustard Seed),Nancy Moser,Multnomah
Rough As a Cob: More from the Juliette Journals,Ed Williams,River City Publishing
The Blue Day Book: A Lesson in Cheering Yourself Up,Bradley Trevor Greive,Random House Australia
The Magic Mountain,THOMAS MANN,Knopf
The Penguin Book of Contemporary New Zealand Short Stories,Susan Davis,Penguin USA
Horse People: Scenes from the Riding Life,Michael Korda,HarperCollins
The case of the backward mule,Erle Stanley Gardner,Aeonian Press
Joe's Word : An Echo Park Novel (City Lights Noir),Elizabeth Stromme,City Lights Books
"The Screenwriter's Bible: A Complete Guide to Writing, Formatting, and Selling Your Script",David Trottier,Silman-James Press
Telling Stories,Valerie Windsor,Sinclair Stevenson
Extension Du Domain De La Lutte,Michel Houellebecq,European Book Co
Your Perfect Right: A Guide to Assertive Living,Robert E. Alberti,Impact Pub
Starswarm: A Jupiter Novel,Jerry Pournelle,Tor Books
"Dorothy Parker, What Fresh Hell Is This?",Marion Meade,Penguin Books
Corrections: A Comprehensive View,Ira Silverman,Wadsworth Publishing
Turn of the Century,Kurt Andersen,Delta
Protect and Defend,Richard North Patterson,Random House Inc
Amate a TI Mismo: Cambiaras Tu Vida : Manual De Trabajo/141,Louise L. Hay,Ediciones Urano
Way of Life,Tzu Lao,Signet Book
A Cat in Fine Style: An Alice Nestleton Mystery (Alice Nestleton Mysteries (Paperback)),Lydia Adamson,Signet Book
"Lies We Live By : Defeating Doubletalk and Deception in Advertising, Politics, and the Media",Carl Hausman,Routledge
Dead Midnight (Sharon McCone Mysteries (Hardcover)),Marcia Muller,Mysterious Press
Martians in Maggody: An Arly Hanks Mystery (Arly Hanks Mysteries (Paperback)),Joan Hess,Onyx Books
Many Masks: A Life of Frank Lloyd Wright,Brendan Gill,Da Capo Press
Highlands of Scotland (Colin Baxter gift book series),Colin Baxter,C. Baxter Photography
The wonderful world of Barry McKenzie; (A Gnome book),Barry Humphries,Macdonald &amp; Co
Les aventures del cavaller Kosmas (ColÂ¨lecciÃ³ Ramon Llull. SÃ¨rie NovelÂ¨la),Juan Perucho,Planeta
"Out of Reach (Sweet Valley High, No 50)",Francine Pascal,Sweet Valley
Open Heart,Abraham B. Yehoshua,Bantam Dell Pub Group
Beer-Can Chicken: And 74 Other Offbeat Recipes for the Grill,Steven Raichlen,Workman Publishing
Das Haus der Harmonie.,Barbara Wood,"Fischer (Tb.), Frankfurt"
The Oxford Book of Australian Love Poems,Jennifer Strauss,OUP Australia and New Zealand
Witches Don't Do Backflips (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,Scholastic
"Revolutionary War On Wednesday (Magic Tree House 22, paper)",Mary Pope Osborne,Random House Children's Books
The little calf that couldn't moo (A First little golden book),Iris Hiskey,Western Pub. Co
"Boys, Bombs and Brussels Sprouts (Goodread Biographies)",J. Douglas Harvey,Goodread Biography
Statues in a Garden,Isabel Colegate,Avon
Border Heat: Pasion En LA Frontera (Encanto (English)),Hebby Roman,Kensington Publishing Corporation
An Inquiry into the Nature and Causes of the Wealth of Nations/2 Volumes in 1,Adam Smith,University of Chicago Press
"Strategy For Marriage  (Contract Brides) (Romance, 3707)",Margaret Way,Harlequin
Politics in Black and White,Raphael J. Sonenshein,Princeton University Press
"The Stairway to Heaven (Earth Chronicles, No. 2)",Zecharia Sitchin,Avon
Der Taucher und das Weh der See. Bekanntschaften mit Menschen und Tieren.,Alfred Kerr,"Fischer (Tb.), Frankfurt"
Landscape Graphics,Grant W. Reid,Watson-Guptill Publications
Busy Timmy (First Little Golden Book),Kathryn Jackson,Golden Books
Disclosure,Michael Crichton,Random House Audio Publishing Group
Iconography: A Writer's Meditation,Susan Neville,Indiana University Press
Byron (Oxford Authors),Jerome McGann,Oxford Univ Pr (Sd)
Search for Grissi,Mary Shura,Harpercollins Juvenile Books
The Mercenary's Kiss (Historical),Pam Crooks,Harlequin
Silencing the Voices: One Woman's Triumph over Multiple Personality Disorder,Jean Darby Cline,Berkley Publishing Group
Caravan of Dreams,Idries Shah,"Octagon Press, Limited"
Tart Noir,Stella Duffy,Berkley Publishing Group
"In whose best interest?: One child's odyssey, a nation's responsibility",John Seita,Continental Press
Returning to A,Dorien Ross,City Lights Publishers
Nanda Devi: The Tragic Expedition,John Roskelley,Mountaineers Books
Barney's Halloween Party,Mary Ann Dudko,Barney Publishing
The True Sources of the Nile : A Novel,SARAH STONE,Doubleday
Shyness : A Bold New Approach,Bernardo J. Carducci Ph.D.,Perennial
Silent Night/All Through the Night : Two Christmas Novels,Mary Higgins Clark,Simon &amp; Schuster
The Illustrated Virago Book of Women Travellers,Mary Morris,Virago Press (UK)
Algebra and Trigonometry,Max A. Sobel,Prentice Hall
The Penguin History Of The Twentieth Century (Allen Lane History S.),J. M. Roberts,Penguin Books
The Best Treatment,Isadore Rosenfeld,Bantam Books
The Silver Sun,Nancy Springer,ereads.com
The House of Gentle Men,Kathy Hepinstall,William Morrow
Crimson Kisses,Asa Drake,Harper Mass Market Paperbacks (Mm)
Haunting of Sylvia Plath (Convergences),Jacqueline Rose,Harvard University Press
Shadowland,Peter Straub,Berkley Publishing Group
Lou Reed and the Velvet Underground,Diana Clapton,Music Sales Corporation
ELEGY IN A COUNTRY GRAVEYARD : ELEGY IN A COUNTRY GRAVEYARD,Audrey Peterson,Pocket
Hardware,Linda Barnes,Bantam Dell Pub Group
Mel's Diner,Marissa Moss,Bridgewater Books
El oro de los sueÃ±os (Leer en espaÃ±ol nivel 4),Jose Maria Merino,Santillana USA Publishing Company
Liberty!: The American Revolution,Thomas Fleming,Viking Books
La Marquise Des Ombres,Hermary-Vieille,Editions Flammarion
Dirk Gently's Holistic Detective Agency,Douglas Adams,Pocket Books
Flowers for the Judge,Margery Allingham,Bantam
101 Essential Tips: Chicken,Anne Willan,Dorling Kindersley Publishing
Morevi: The Chronicles of Rafe and Askana,Lisa Lee,Dragon Moon Press
The Cat Who Wished to Be a Man,Lloyd Alexander,Penguin USA
"Remember Me (Dear Diary, No 2)",Cheryl Lanham,Berkley Publishing Group
Las Palabras Andantes,Eduardo Galeano,"Siglo XXI Editores, S. A. de C. V."
Part of the Bargain,Linda Lael Miller,Mira Books
Moonbeams Aplenty (Western Lovers - Denim &amp; Diamonds),Mary Lynn Baxter,Silhouette
Daisy-Head Mayzie,DR SEUSS,Random House Books for Young Readers
Islam for Dummies,Malcolm  Clark,For Dummies
David Malouf: Selected Poems (A &amp; R Modern Poets),David Malouf,Harpercollins
Dave Barry Hits Below the Beltway: A Vicious and Unprovoked Attack on Our Most Cherished Political Institutions,Dave Barry,Ballantine Books
Le Gette's Calorie Encyclopedia,Bernard Le Gette,Warner Books
The garden of earthly delights,Nicholas Salaman,HarperCollins ;
Never Let Me Go,Tim Kincaid,Kensington Publishing Corporation
Not Fade Away,Laurence Shames,Rodale Books
Regrets Only,Nancy Geary,Warner Books
Puck of Pook's Hill (Puffin Classics),Rudyard Kipling,Puffin Books
The Observer's Book of Pond Life,John Clegg,Godfrey Cave / Claremont
"Coin of the Realm (Destroyer, No 77)",Warren Murphy,New Amer Library (Mm)
Jungles &amp; rain forests (Explorer books),Julia L Andrews,Trumpet Club
Food and Feast in Tudor England,Alison Sim,"Alan Sutton Publishing, Ltd."
The Rough Guide to Venice and the Vento (Rough Guide Venice),Johathan Buckley,Rough Guides Limited
Mountain Thunder (Mountain Country),John Legg,Harper Mass Market Paperbacks (Mm)
"Jenseits Von Afrika (Fiction, Poetry and Drama)",Blixen,Wilhelm Heyne Verlag GmbH &amp; Co KG
The Stars Will Speak,George Zebrowski,HarperCollins Publishers
Tears of Gold,Laurie McBain,Harper Mass Market Paperbacks (Mm)
Preparing for Adolescence,James C. Dobson,Bantam Books
The Night of Wenceslas (Perennial Library Mystery Series),Lionel Davidson,HarperCollins Publishers
"Living a Beautiful Life: Five Hundred Ways to Add Elegance, Order, Beauty and Joy to Every Day of Your Life",Alexandra Stoddard,Random House
Dream Chasers,Anne McAllister,Harlequin Books
The Murderers (Badge of Honor Novels (Hardcover)),W. E. B. Griffin,Severn House Publishers
Texas Wedding,Catherine Creel,Ivy Books
Kids Are Authors: Band of Coyotes,Scholastic,Scholastic
"Shadow Between (Silhouette Desire, No 257)",Diana Stuart,Silhouette
Dinosaurs! : A Drawing Book (Reading Rainbow),Michael Emberley,"Little, Brown"
Success: One Day At A Time,John Maxwell,J Countryman Books
Pushcart's Complete Rotten Reviews &amp; Rejections,Bill Henderson,Pushcart Press
Dictionary of Medical Terms for the Nonmedical Person (Barron's Educational),Mikel A. Rothenberg,Barrons Educational Series Inc
