title,genres,keywords,original_language,overview
P.S. I Love You,Drama Romance,job-hopping irland shoe seller letter dying and death,en,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
Pocketful of Miracles,Comedy Drama,dude prohibition deception new york city apple,en,"Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite."
Curse of the Golden Flower,Action Drama Fantasy,poison china martial arts swordplay fight,zh,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself."
Amores perros,Drama Thriller,homeless person mexico city daughter secret love dogfight,es,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.
Jason Goes to Hell: The Final Friday,Fantasy Horror Thriller,male nudity female nudity waitress camping nudity,en,"Jason Voorhees, the living, breathing essence of evil, is back for one fierce, final fling! Tracked down and blown to bits by a special FBI task force, everyone now assumes that he's finally dead. But everybody assumes wrong. Jason has been reborn with the bone-chilling ability to assume the identity of anyone he touches. The terrifying truth is that he could be anywhere, or anybody. In this shocking, blood-soaked finale to Jason's carnage-ridden reign of terror, the horrible secret of his unstoppable killing instinct is finally revealed."
Ink,Action Fantasy,supernatural father daughter relationship incubus,en,"Invisible forces exert power over us in our sleep. A mercenary named Ink, on a literal nightmare mission, captures the spirit of 8-year-old Emma in the dream world. To save her, the dream-givers marshal all their resources, focusing on saving the soul of Emma's tragically broken father."
Star Wars: Episode II - Attack of the Clones,Adventure Action Science Fiction,senate investigation army death star jedi,en,"Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars."
The Infiltrator,Crime Drama Thriller,undercover biography drug drug lord,en,A U.S Customs official uncovers a massive money laundering scheme involving Pablo Escobar.
Random Hearts,Drama Romance,infidelity politician airplane crash death death of husband,en,After the death of their loved ones in a tragic plane crash 'Harrison Ford' and Kristin Scott Thomas find each others keys in each others loved ones posessions and realize that they were having an affair and must figure out all the details. Written by Andy HeitzThe wife of Police Sergeant Dutch Van Den Broek and the husband of politician Kay Chandler are killed in a plane crash. Now Dutch discovers some anomalies in what he told her before she left and discovers that she and Chandler's husband were travelling together. Dutch then goes to Chandler and tells her that he suspects that they were having an affair. He tells her that he wants to know the truth; she tells him that she doesn't but she later joins him and they grow close.
Elling,Comedy Drama,mentally disabled,en,"When his mother, who has sheltered him his entire 40 years, dies, Elling, a sensitive, would-be poet, is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and female-obsessed virgin in his 40s. After two years, the men are released and provided with a state-funded apartment and stipend with the hope they will be able to live on their own."
Half Past Dead,Crime Action Thriller,resistance undercover alcatraz stolen money,en,This movie tells the story of a man who goes undercover in a hi-tech prison to find out information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.
Fireproof,Drama,father son relationship fire firemen christian advice,en,"In Albany, the marriage of Caleb end Catherine Holt is in crisis and they decide to divorce. However, Caleb's father, John, proposes that his son delays their separation process for forty days and follow a procedure called ""The Love Dare"" to make them love each other again."
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation."
The Little Prince,Adventure Animation Fantasy,philosophy utopia airplane adventure dystopia,en,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met."
The Train,Action Drama Thriller War,paris france world war ii nazis hijacking of train,en,"As the Allied forces approach Paris in August 1944, German Colonel Von Waldheim is desperate to take all of France's greatest paintings to Germany. He manages to secure a train to transport the valuable art works even as the chaos of retreat descends upon them. The French resistance however wants to stop them from stealing their national treasures but have received orders from London that they are not to be destroyed. The station master, Labiche, is tasked with scheduling the train and making it all happen smoothly but he is also part of a dwindling group of resistance fighters tasked with preventing the theft. He and others stage an elaborate ruse to keep the train from ever leaving French territory."
Hot Fuzz,Crime Action Comedy,village arrest police partner murder,en,"Top London cop, PC Nicholas Angel is good. Too good.  To stop the rest of his team from looking bad, he is reassigned to the quiet town of Sandford, paired with simple country cop, and everything seems quiet until two actors are found decapitated. It is addressed as an accident, but Angel isn't going to accept that, especially when more and more people turn up dead."
Touching the Void,Documentary Action Adventure,wound mountaineer peru sport glacier,en,"A documentary based on the book of the same name by Joe Simpson about Simpson's and Simon Yates' disastrous and near-fatal attempt to climb 6,344m Siula Grande in the Cordillera Huayhuash in the Peruvian Andes in 1985."
Forty Shades of Blue,Drama Romance,independent film,en,A Russian woman living in Memphis with a much older rock-n-roll legend experiences a personal awakening when her husband's estranged son comes to visit.
Tumbleweeds,Comedy Drama,independent film,en,"A woman constantly runs from town to town with her 12 year old daughter to escape failed relationships. The film opens with one escape and the shift into a new start in San Diego. There Mom takes up with a controlling trucker and fights with her weirdo boss. Meanwhile, the daughter, used to making the constant shifts, finds a fit at school including getting chosen for a play lead."
Judgment at Nuremberg,Drama History,judge concentration camp world war ii nazis court case,en,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner."
Rambo III,Action Adventure Thriller War,competition submachine gun soviet union liberation russian,en,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured."
Freddy Got Fingered,Comedy,wheelchair slacker sausage,en,"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy."
The Master of Disguise,Comedy Family,aftercreditsstinger duringcreditsstinger,en,"A sweet-natured Italian waiter named Pistachio Disguisey at his father Fabbrizio's restaurant, who happens to be a member of a family with supernatural skills of disguise. But moments later the patriarch of the Disguisey family is kidnapped Fabbrizio's former arch-enemy, Devlin Bowman, a criminal mastermind in an attempt to steal the world's most precious treasures from around the world. And it's up to Pistachio to track down Bowman and save his family before Bowman kills them!"
Death Sentence,Action Crime Drama Thriller,loss of son repayment revenge murder gang,en,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family."
Beloved,Drama Thriller,,en,"After Paul D. finds his old slave friend Sethe in Ohio and moves in with her and her daughter Denver, a strange girl comes along by the name of ""Beloved"". Sethe and Denver take her in and then strange things start to happen..."
"Run, Fatboy, Run",Comedy Romance,father son relationship new love fianc\u00e9 training rent,en,"Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back."
Rob Roy,Adventure,scotland biography 18th century highlands violent man,en,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour."
Jason X,Horror Science Fiction,places and planets space marine future cryogenics space,en,"In the year 2455, Old Earth is now a contaminated planet abandoned for centuries -- a brown world of violent storms, toxic landmasses and poisonous seas. Yet humans have returned to the deadly place that they once fled, not to live, but to research the ancient, rusting artifacts of the long-gone civilizations. But it's not the harmful environment that could prove fatal to the intrepid, young explorers who have just landed on Old Earth. For them, it's Friday the 13th, and Jason lives!"
Turbo,Animation Family,underdog car race dream speed power,en,The tale of an ordinary garden snail who dreams of winning the Indy 500.
The Diving Bell and the Butterfly,Drama,writing lover (female) psychological stress dying and death editor-in-chief,fr,"Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind."
Desperado,Thriller Action Crime,gunslinger anti terror ambush mexico showdown,en,A gunslinger is embroiled in a war with a local drug runner.
Henry & Me,Family Animation,baseball surrealism children new york yankees,en,"Henry &amp; Me tells the courageous story of Jack (AUSTIN WILLIAMS), a brave young boy who is dealt a life changing blow. Low on confidence and filled with self-doubt, hope seems lost until a mysterious stranger named Henry (RICHARD GERE) appears. With the touch of his pin, Henry sweeps Jack away to a magical world where illness no longer exists and New York Yankee legends play forever. The incredible journey brings Jack face to face with Babe Ruth (CHAZZ PALMINTERI), Thurman Munson (PAUL SIMON), Lefty Gomez (LUIS GUZMAN) and Mickey Mantle (DAVID MANTLE) – who all teach Jack to face his fears and never give up. The movie climaxes at Yankee stadium, where Jack must test his newfound courage to save the season and find his way home. Featuring an all star-cast of unforgettable characters, Henry &amp; Me is heartwarming movie experience for the entire family with a message of hope… when life throws a curve… swing away!"
Headhunters,Thriller Crime,death of lover art thief art gallery police investigation,en,An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary..
The Princess Diaries,Comedy Family Romance,heir to the throne grandmother granddaughter relationship high school princess royalty,en,"A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne."
Diary of a Wimpy Kid,Comedy Family,based on novel coming of age young boy breaking the fourth wall middle school,en,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!"
127 Hours,Adventure Drama Thriller,mountains despair adventure utah alone,en,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.
Stolen Summer,Drama Family Comedy,,en,"Pete, an eight-year-old Catholic boy growing up in the suburbs of Chicago in the mid-1970s, attends Catholic school, where as classes let out for the summer, he's admonished by a nun to follow the path of the Lord, and not that of the Devil. Perhaps taking this message a bit too seriously, Pete decides it's his goal for the summer to help someone get into heaven; having been told that Catholicism is the only sure path to the kingdom of the Lord, Pete decides to convert a Jew to Catholicism in order to improve their standing in the afterlife. Hoping to find a likely candidate, Pete begins visiting a nearby synagogue, where he gets to know Rabbi Jacobson, who responds to Pete's barrage of questions with good humor. Pete also makes friends with the Rabbi's son, Danny, who is about the same age; when he learns that Danny is seriously ill, he decides Danny would be an excellent choice for conversion."
March of the Penguins,Documentary Family,parents kids relationship penguin brood autonomy egg,fr,"Every year, thousands of Antartica's emperor penguins make an astonishing journey to breed their young. They walk, marching day and night in single file 70 miles into the darkest, driest and coldest continent on Earth."
Straight A's,Comedy Drama,brother brother relationship drug addiction sister-in-law,en,"Pressured by his deceased mother's ghost to return home to the family he abandoned, a former addict grabs a bag of pills and a sack of marijuana and hits the road to Shreveport."
Deconstructing Harry,Comedy Drama,new york writer's block insanity independent film author,en,"This film tells the story of a successful writer called Harry Block, played by Allen himself, who draws inspiration from people he knows in real-life, and from events that happened to him, sometimes causing these people to become alienated from him as a result."
Restless,TV Movie Romance Drama,spy war british secret service,en,A young woman finds out that her mother worked as a spy for the British Secret Service during World War II and has been on the run ever since.
Patriot Games,Drama Action Thriller Crime,assassination assassin repayment ira jack ryan,en,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge."
Perrier’s Bounty,Action Comedy Crime Drama,suspense,en,A gangster named Perrier looks to exact his revenge on a trio of fugitives responsible for the accidental death of one of his cronies.
Dum Maaro Dum,Drama Action Crime Foreign,goa drug bust rave party,hi,"We hurtle into the bylanes, beach shacks and raves of Goa with Lorry as his life spirals out of control, with Joki as he tries to redeem the past and with Kamath as he goes no-holds-barred after the mysterious shadow figure behind it all... Punctuated with a soundtrack that moves from pulsating dance tracks to haunting Konkani songs, shot right in the midst of the teeming international tourist hotspots, Dum Maaro Dum takes you on a dramatic, thrilling trip filled with twists, turns, suspense... and a shocking finale!"
Batman,Family Adventure Comedy Science Fiction Crime,submarine dc comics missile shark attack rescue,en,The Dynamic Duo faces four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.
102 Dalmatians,Comedy Family,london england prison release from prison women's prison society for the prevention of cruelty to animals,en,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil"
Bambi,Animation Drama Family,forest coming of age best friend loss of loved one,en,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends."
Mallrats,Romance Comedy,sex game show slacker shopping mall,en,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
Go for It!,Drama Family,dancing chicago woman director,en,"Carmen is a good student with a bad attitude who lives for dancing in the underground clubs of Chicago. She yearns to be 'somebody' but is afraid to believe in herself. Her immigrant Mexican, working-class parents want her to stay in school and get an education, so she attends junior college while working at a grocery store. Carmen's professor catches her performing one day in the neighborhood and challenges her to audition to a formal dance school in California. She gets into a fight with her chaotic family and runs away to her best friend Gina's place only to find out Gina's been getting beat up by her boyfriend. Meanwhile, Carmen's boyfriend, Jared wants her to commit and move in with him. Pulled apart in every direction, her dream of dancing fades. Can Carmen overcome her fears and take the biggest chance of her life, or will she succumb to her self-doubt?"
Furry Vengeance,Comedy,bear animal aftercreditsstinger duringcreditsstinger real estate,en,"When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision, a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits?"
Here Comes the Boom,Comedy,high school teacher prize money physics teacher fighting movie budget cutting,en,A high school biology teacher moonlights as a mixed-martial arts fighter in an effort to raise money to save the school's music program.
Jaws,Horror Thriller Adventure,fishing atlantic ocean bathing shipwreck police chief,en,"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast."
Wild Hogs,Action Adventure Comedy,midlife crisis road trip politically incorrect motorcycle gang biker film,en,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos."
Gran Torino,Drama,rape war veteran immigration priest gang,en,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood."
Flight of the Phoenix,Action Adventure Drama Thriller,robbery water gobi desert disaster airplane crash,en,"When an Amacor oil rig in the Gobi Desert of Mongolia proves unproductive, Captain Frank Towns and copilot ""A.J."" are sent to shut the operation down. However, on their way to Beijing, a major dust storm forces them to ditch their C-119 Flying Boxcar in an uncharted area of the desert."
The Book Thief,Drama,world war ii book nazi germany jewish,en,"While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refuge is being sheltered by her adoptive parents."
In the Bedroom,Drama Thriller,age difference fishing arbitrary law conductor ex husband,en,"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. He is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy."
Atlas Shrugged Part III: Who is John Galt?,Drama Science Fiction Mystery,trilogy ayn rand,en,"Approaching collapse, the nation's economy is quickly eroding. As crime and fear take over the countryside, the government continues to exert its brutal force against the nation's most productive who are mysteriously vanishing - leaving behind a wake of despair. One man has the answer. One woman stands in his way. Some will stop at nothing to control him. Others will stop at nothing to save him. He swore by his life. They swore to find him."
Terminator Salvation,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,en,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe."
The Beyond,Horror,hotel experiment hell gore morgue,it,"A young woman inherits an old hotel in Louisiana where after a series of supernatural 'accidents', she learns that the building was built over one of the entrances to Hell."
Jane Got a Gun,Action Drama Western,,en,"After her outlaw husband returns home shot with eight bullets and barely alive, Jane reluctantly reaches out to an ex-lover who she hasn't seen in over ten years to help her defend her farm when the time comes that her husband's gang eventually tracks him down to finish the job."
The Slaughter Rule,Drama,,en,"A young man finds solace with a young woman, his mother, and a high-school football coach who recruits him to quarterback a six-man team."
Pan's Labyrinth,Fantasy Drama War,spain resistance servant anti hero fairy,es,"Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks."
Duel in the Sun,Western,half breed,en,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad."
Wolf,Fantasy,adultery heal bite werewolf,en,Publisher Will Randall becomes a werewolf and has to fight to keep his job.
Choke,Comedy Drama,strip club alzheimer sex addiction,en,A sex-addicted con-man pays for his mother's hospital bills by playing on the sympathies of those who rescue him from choking to death.
Perfect Cowboy,Drama,,en,"Two gay fathers of a straight country western singers, all living in a rural community and playing music together. Jimmy Poole gets out of prison and kicks his step-son Mark out of the family's band."
House of Sand and Fog,Drama,san francisco immigrant house intimidation iranian,en,"Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma."
Irreversible,Drama Thriller Crime Mystery,paris prostitute rape sex nudity,fr,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything."
Foodfight!,Animation Action Comedy Family,supermarket fight product placement computer animation food,en,"Dex, a superdog sleuth, is the law of the land when the world's most recognized brands take on the forces of evil and the devilish Brand X."
Roll Bounce,Comedy Drama Family,,en,"From Wikipedia, the free encyclopedia. Roll Bounce is a 2005 American comedy-drama film written by Norman Vance Jr. and directed by Malcolm D. Lee. The film stars hip hop artist Bow Wow as the leader of a roller skating crew in 1970s Chicago. The film also stars Nick Cannon, Meagan Good, Brandon T. Jackson, Wesley Jonathan, Chi McBride, Kellita Smith, and Jurnee Smollett. Description above from the Wikipedia article Roll Bounce, licensed under CC-BY-SA, full list of contributors on Wikipedia."
Love and Death on Long Island,Drama Romance Foreign,obsession love obsessive love actor,en,"Giles De'Ath is a widower who doesn't like anything modern. He goes to movies and falls in love with film star, Ronnie Bostock. He then investigates everything about the movie and Ronnie. After that he travels to Long Island city where Ronnie lives and meets him, pretending that Ronnie is a great actor and that's why Giles admires him."
Save the Last Dance,Drama Family Romance Music,ballet dancer musical ballet,en,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past."
The Boxtrolls,Animation Comedy Family Fantasy,based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger,en,"An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher."
The Grand Budapest Hotel,Comedy Drama,hotel painting wartime gunfight theft,en,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century."
Shrek the Third,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,en,"The King of Far Far Away has died and Shrek and Fiona are to become King &amp; Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom."
The Iron Lady,History Drama,capitalism prime minister argentina margaret thatcher british overseas territory,en,"A look at the life of Margaret Thatcher, the former Prime Minister of the United Kingdom, with a focus on the price she paid for power."
Machete Kills,Action Crime Thriller,mexico white house nuclear missile machete outer space,en,Ex-Federale agent Machete is recruited by the President of the United States for a mission which would be impossible for any mortal man – he must take down a madman revolutionary and an eccentric billionaire arms dealer who has hatched a plan to spread war and anarchy across the planet.
American Reunion,Comedy,wife husband relationship sequel family reunion masturbation scat,en,"The characters we met a little more than a decade ago are returning to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t and that time and distance can’t break the bonds of friendship. It was summer 1999 when four small-town Michigan boys began a quest to lose their virginity. In the years that have passed, Jim and Michelle married while Kevin and Vicky said goodbye. Oz and Heather grew apart, but Finch still longs for Stifler’s mom. Now these lifelong friends have come home as adults to reminisce about – and get inspired by – the hormonal teens who launched a comedy legend."
The Brothers Grimm,Adventure Fantasy Action Comedy Thriller,brother brother relationship literature aftercreditsstinger,en,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage."
Me and You and Everyone We Know,Comedy Drama,brother brother relationship playground independent film sex talk art gallery,en,"The feature film debut by artist Miranda July about a various comic situations and plots that intertwine. One story line is about a father who is ending his marriage and the other story is of a video artist (possibly autobiographical of Miranda July, also played by her) who is desperately trying to get her work in a modern art museum. The film won Caméra d'Or at Cannes."
Star Trek V: The Final Frontier,Science Fiction Action Adventure Thriller,federation starfleet uss enterprise-a sha-ka-ree loss of brother,en,Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.
The Damned United,Drama,england leeds united sport brighton soccer,en,"Taking over Leeds United, Brian Clough's abrasive approach and his clear dislike of the players' dirty style of play make it certain there is going to be friction. Glimpses of his earlier career help explain both his hostility to previous manager Don Revie and how much he is missing right-hand man Peter Taylor"
Max Keeble's Big Move,Comedy Family Fantasy Science Fiction,,en,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all."
Born Of War,Action Thriller War,gun oil secret service woman director mina,en,"Mina, a young college student, has her life ripped away after her family is killed. When she finds out their murder was part of a botched kidnapping to return her to her real father—a terrorist in the middle east."
White Chicks,Comedy,undercover fbi fish out of water high society buddy cop,en,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. As punishment, they are forced to escort a pair of socialites to the Hamptons, where they're going to be used as bait for a kidnapper. But when the girls realize the FBI's plan, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from African-American men into a pair of blonde, white women."
The Fifth Element,Adventure Fantasy Action Thriller Science Fiction,clone taxi cyborg egypt future,en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity."
The Rainmaker,Drama Crime Thriller,jurors proof court case leukemia lawyer,en,"When Rudy Baylor (Matt Damon), a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company (represented by a ruthless Jon Voight). But to take on corporate America, Rudy and a scrappy paralegal (Danny DeVito) must open their own law firm."
Easy Money,Drama Thriller Crime,consignment,sv,"A three-tiered story centered around drugs and organized crime, and focused on a young man who becomes a runner for a coke dealer."
Runaway Bride,Comedy Romance,small town self-discovery just married reporter wedding,en,"Ike Graham, New York columnist, writes his text always at the last minute. This time, a drunken man in his favourite bar tells Ike about Maggie Carpenter, a woman who always flees from her grooms in the last possible moment. Ike, who does not have the best opinion about females anyway, writes an offensive column without researching the subject thoroughly."
John Q,Drama Thriller Crime,father son relationship chicago heart attack kidnapping heart disease,en,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list."
Resident Evil: Retribution,Action Horror Science Fiction,mutant dystopia sequel conspiracy tokyo japan,en,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun."
The Shawshank Redemption,Drama Crime,prison corruption police brutality prison cell delinquent,en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
Waiting for Guffman,Music Comedy,missouri independent film mechanic in the closet mockumentary,en,"Corky St. Clair is a director, actor and dancer in Blaine, Missouri. When it comes time to celebrate Blaine's 150th anniversary, Corky resolves to bring down the house in Broadway style in this hilarious mockumentary from the people who brought you ""This is Spinal Tap!"""
The Devil's Rejects,Drama Horror Crime,sadistic killing fire sheriff bounty hunter,en,"The sequel to House of 1000 Corpses – the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing – yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way."
Rosemary's Baby,Horror Drama Mystery,anti-christ contemporary setting laundry occult demonic possession,en,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.
"The Good, the Bad and the Ugly",Western,bounty hunter refugee gold anti hero gallows,it,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold."
Clear and Present Danger,Action Drama Thriller,assassination spy ambush cia helicopter,en,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
