title,country,rating,listed_in,description
Ricky Gervais: Humanity,United Kingdom,TV-MA,Stand-Up Comedy,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally."
Love and Hong Kong,Japan,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas",The lives of five strangers become intertwined forever when a starlet filming a documentary is kidnapped on the streets of Hong Kong.
The Arbitration,Nigeria,TV-MA,"Dramas, International Movies",An arbitration panel is formed after a company CEO in Nigeria is sued for wrongful dismissal and rape by an employee with whom he had an affair.
Rafinha Bastos: Ultimatum,Brazil,TV-MA,Stand-Up Comedy,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again."
The Bittersweet,China,TV-MA,"Action & Adventure, Dramas, International Movies","As a killer stalks the streets, a troubled young courier suspects that a doctor may be the long-lost sister he hasn't seen since childhood."
Bebe's Kids,United States,PG-13,Comedies,"When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids."
Kulipari: An Army of Frogs,United States,TV-Y7,Kids' TV,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians."
Splatter,United States,TV-MA,Horror Movies,"After committing suicide, a washed-up rocker returns from the grave to torment the five people who betrayed him in life."
Magical Andes,"Uruguay, Germany",TV-G,"Docuseries, International TV Shows, Science & Nature TV","From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains."
Reggie Yates Outside Man,United Kingdom,TV-MA,"British TV Shows, Docuseries, International TV Shows","Award-winning filmmaker Reggie Yates travels around the world tackling big issues such as gun violence, racism, gay rights and addiction."
Tell Me When,Mexico,TV-MA,"Comedies, International Movies",Workaholic Will puts his humdrum life in LA on hold to fulfill his grandpa's last wish: visiting Mexico City's most iconic sights and falling in love.
Wild District,Colombia,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","After surrendering to Bogotá police, an ex-guerrilla avoids prison by working undercover to investigate a ruthless enforcer of government corruption."
Inconceivable,"United Kingdom, United States",R,Thrillers,A couple trying to conceive invite a woman with a mysterious past to move in with them. But it's an invitation they might come to regret.
Daybreak,United States,TV-MA,"TV Action & Adventure, TV Comedies, TV Horror","Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs."
Still,Thailand,TV-MA,"Horror Movies, International Movies","A haunted hotel, a body in a water tank, a nightclub fire and a prison death comprise four horror tales taken from Thailand's newspaper headlines."
Galavant,United States,TV-PG,"TV Action & Adventure, TV Comedies","In a time of legend, Galavant the knight embarks on a quest to save his fair lady and become a hero in this tongue-in-cheek musical comedy."
Angry Birds,Finland,TV-Y7,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
Maharakshak: Aryan,India,TV-14,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","Shy nerd Aryan learns soon after his 18th birthday that he has inherited superpowers, which he must use to vanquish a variety of evil threats."
Jaguar,,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
Becoming Champions,Mexico,TV-G,"Docuseries, International TV Shows",This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.
Code Geass: Lelouch of the Rebellion,Japan,TV-MA,"Anime Series, International TV Shows",A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.
Strong,United States,TV-14,Reality TV,Gabrielle Reece hosts a transformative competition of tough fitness challenges as 10 women partner with 10 elite personal trainers.
Chocolate,South Korea,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward."
Garfield's Pet Force,"South Korea, United States",G,"Children & Family Movies, Comedies","When an alien menace and her army of undead minions threaten to enslave the world, Garfield heads a team of comic-strip superheroes to save the day."
Al acecho,Argentina,TV-MA,"International Movies, Thrillers","Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts."
She's Out of My League,United States,R,"Comedies, Romantic Movies","Kirk's a 5. His new girlfriend Molly's a 10. No one knows what she sees in him, including Kirk. Will his raging insecurities ruin this budding romance?"
A Thousand Goodnights,Taiwan,TV-14,"International TV Shows, TV Dramas","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way."
StartUp,United States,TV-MA,"Crime TV Shows, TV Dramas",An attempt to launder stolen money finances a cryptocurrency that puts entrepreneurs in business with a corrupt FBI agent and a Miami gang.
Schulz Saves America,United States,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.
Life of An Outcast,India,TV-PG,"Dramas, Independent Movies, International Movies","When authorities jail his son for rejecting religious bias, a poor father’s struggle to bail him out highlights rural India’s enduring casteism."
Hillbilly Elegy,United States,R,Dramas,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
Kannum Kannum Kollaiyadithaal,India,TV-14,"Comedies, Dramas, International Movies","A carefree racing enthusiast’s womanizing ways end when he meets the girl of his dreams, but their newfound peace is disrupted by a dangerous killer."
George Lopez: We'll Do It For Half,United States,TV-MA,Stand-Up Comedy,"Comedian George Lopez tackles the future and the past of Latinx culture in America, touching on immigration, his tough relatives, aging and much more."
Naruto,Japan,TV-14,"Anime Series, International TV Shows","Guided by the spirit demon within him, orphaned Naruto learns to harness his powers as a ninja in this anime adventure series."
The 4th Company,"Mexico, Spain",TV-MA,"Action & Adventure, Dramas, International Movies","In a violent prison in 1970s Mexico, a young inmate lands a spot on a football team that doubles as an enforcer squad for a corrupt administration."
Killa,India,TV-14,"Dramas, International Movies",Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to.
Saheb Bibi Golaam,India,TV-MA,"Dramas, International Movies","A charming cabbie, a cop turned assassin and a housewife who’s also a hooker share one thing in common: a bizarre and violent afternoon in Kolkata."
Mobile Suit Gundam UC,Japan,TV-PG,"Anime Series, International TV Shows","When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence."
Yanda Kartavya Aahe,India,TV-PG,"Comedies, Dramas, International Movies","Thanks to an arranged marriage that was designed to make an ailing grandmother happy, newlyweds Rahul and Swati are virtually strangers. Can a four-day honeymoon make a difference when it comes to the couple's feelings about each other?"
The Pursuit,United States,TV-14,Documentaries,"In a time of turbulence for the free market system, one economist explores how it has lifted billions out of poverty, and might just save us all."
Ordinary Heroes,,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Get an intimate look at four engaged citizens whose courage, sense of civic duty and ultimate sacrifice helped to transform Italian society."
Ingobernable,Mexico,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth."
Hulk Vs.,United States,PG-13,"Action & Adventure, Sci-Fi & Fantasy",This action-packed animated double feature pits the Hulk against two of the Marvel Universe's most powerful characters: Wolverine and Thor.
Step Sisters,United States,PG-13,Comedies,"With her Harvard Law dreams on the line, a black sorority leader agrees to help a rhythmically challenged sisterhood win a step dance championship."
Invisible City,Brazil,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","After a family tragedy, a man discovers mythical creatures living among humans — and soon realizes they hold the key to his mysterious past."
Anwar,India,TV-14,"Dramas, Independent Movies, International Movies","Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy."
Grandmother's Farm Part 2,United Arab Emirates,TV-14,"Comedies, Horror Movies, International Movies","After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah — and right into more terror."
Degrassi: Next Class,Canada,TV-14,"International TV Shows, TV Dramas, Teen TV Shows","Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life."
Small Town Crime,United States,R,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path."
Greater,United States,PG,"Children & Family Movies, Dramas, Sports Movies",Faith and determination transform a talentless football player at the University of Arkansas into an All-American in this inspiring true story.
Heaven Official's Blessing,China,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods."
Swami Baba Ramdev: The Untold Story,,TV-14,"International TV Shows, TV Dramas","Born into poverty and denied an education, a village boy overcomes society’s obstacles to become India’s foremost spiritual guru, revered by millions."
Once in a Lifetime Sessions with Snow Patrol,United States,TV-MA,"Documentaries, Music & Musicals","In addition to concert scenes and studio recording sessions, this documentary presents exclusive interviews of the five men from the Irish rock band."
"Coronavirus, Explained",United States,TV-PG,"Docuseries, Science & Nature TV","In 2020, the world changed. This topical series examines the coronavirus pandemic, the efforts to combat it and ways to manage its mental health toll."
Prime Time,,TV-MA,"Dramas, International Movies, Thrillers","On New Year’s Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air."
GAME ON: A Comedy Crossover Event,United States,TV-G,"Kids' TV, TV Comedies","Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series."
AK vs AK,India,TV-MA,"Comedies, Dramas, International Movies","After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time."
Filosofi Kopi The Movie,Indonesia,TV-PG,"Dramas, International Movies",The level-headed owner of a struggling coffee shop finds his future at risk when his partner – a talented but cocky barista – makes a major bet.
Taare Zameen Par,India,PG,"Dramas, International Movies","When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity."
Macchli Jal Ki Rani Hai,India,TV-MA,"Horror Movies, International Movies","After relocating to a different town with her husband, a housewife begins to sense the existence of a mysterious presence in their new house."
Zoot Suit,United States,R,"Cult Movies, Dramas, Music & Musicals","In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed."
Cave,Norway,TV-MA,"Action & Adventure, International Movies, Thrillers","Torn between old camaraderie and recent tensions, three ex-soldiers reunite to explore a deadly cave but soon discover terror beyond all expectations."
Moonwalkers,"France, Belgium",R,"Action & Adventure, Comedies, International Movies","A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing."
The Sound of Your Heart: Reboot,South Korea,TV-14,"International TV Shows, Korean TV Shows, TV Comedies","Webtoonist Cho Seok is back with more anecdotes of mix-ups, unintended antics, and bathroom blunders in this reboot starring an all-new cast."
Deuces,United States,TV-MA,Dramas,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader."
Bill Burr: Paper Tiger,"United States, United Kingdom",TV-MA,Stand-Up Comedy,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London."
Yasuke,,TV-MA,"Anime Series, International TV Shows",A peaceful boatman once known as the Black Samurai is pulled back into conflict when he takes a little girl with mysterious powers under his wing.
My Fuhrer,Germany,TV-14,"Comedies, International Movies",Germany's most celebrated actor is commissioned by Nazi propagandist Joseph Goebbels to prepare the leader of the Third Reich to deliver a speech.
Nila,India,TV-MA,"Dramas, International Movies, Romantic Movies","When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter."
The Jungle Book,"India, Germany, France",TV-Y7,Kids' TV,"This animated series follows young Mowgli and his animal mentors Bagheera and Baloo, who do their best to protect him from fierce tiger Shere Khan."
Deadly Scholars,United States,TV-14,"Dramas, Thrillers","After a series of strange deaths, a high school reporter tries to pin down the killer who's targeting students eligible for a prestigious scholarship."
Highly Strung,Australia,TV-14,"Documentaries, International Movies, Music & Musicals","Fiery passions take center stage in this intimate look at the Australian String Quartet and, perhaps more vital, the priceless instruments they guard."
Vai Anitta,Brazil,TV-MA,"Docuseries, International TV Shows, Reality TV","Go behind the scenes with Brazilian pop icon Anitta, along with her friends and family, as she aims to create a new song and music video each month."
Lagos Real Fake Life,,TV-MA,"Comedies, International Movies","Two mooching friends vie for the attention of wealthy, beautiful women only to discover that their lavish lifestyles are bogus."
This Was Tomorrow,Belgium,NR,"Documentaries, International Movies, Music & Musicals","The Tomorrowland music festival marks its 10th anniversary in Belgium, the U.S. and Brazil, with all the diverse excitement of the annual event."
Keymon and Nani in Space Adventure,,TV-Y,"Children & Family Movies, Comedies","For Rohan and his magical pal, Keymon, a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!"
YOM,,TV-Y7,Kids' TV,"With the mind of a human being, and the body of whichever animal he chooses to be, a young boy protects the world from danger."
Blood Father,France,R,"Action & Adventure, International Movies",An ex-convict and estranged father finds the chance to prove himself when his daughter seeks his help shaking off a dangerous group of drug dealers.
Vitti Dandu,India,TV-14,"Dramas, International Movies","In a remote village in colonial India, an old man and his grandson display strong differences in their attitudes toward the country's British rulers."
Death by Magic,United States,TV-PG,Reality TV,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians."
Bullet Head,"Bulgaria, United States",R,"International Movies, Thrillers","After a daring heist, three fugitives lock themselves in a warehouse hoping to evade the police, but find a worse threat as they fight to stay alive."
S.W.A.T.,United States,PG-13,Action & Adventure,"A veteran cop is tasked with drafting and training a special weapons and tactics team, who soon find themselves up against an international criminal."
Medium,"Poland, West Germany",TV-MA,"Horror Movies, International Movies, Thrillers","In 1930s Poland, a powerful psychic steers a group of strangers toward a fated convergence that ensures survival for one and annihilation for others."
Grizzlies,Canada,R,"Dramas, Independent Movies, Sports Movies",A group of disaffected students form an unlikely bond through the game of lacrosse when a new teacher introduces the sport to their remote Arctic town.
Skylanders Academy,"South Korea, United States",TV-Y7,"Kids' TV, TV Comedies",Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.
The Longshots,United States,PG,"Comedies, Dramas, Sports Movies","When an 11-year-old girl becomes Pop Warner football's first female quarterback, she raises eyebrows – till she takes her team to the brink of glory."
Derek,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies",Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.
Project Power,United States,R,Action & Adventure,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers."
Two Fathers,Taiwan,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family."
The Boy,"United States, Canada, China",PG-13,"Horror Movies, Independent Movies, Thrillers",A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.
Go! Go! Cory Carson: Chrissy Takes the Wheel,,TV-Y,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
Naughty Jatts,India,TV-PG,"Comedies, International Movies, Music & Musicals","When three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest."
Murder Party,United States,NR,"Comedies, Cult Movies, Horror Movies","A mild-mannered office drone plucks a Halloween party invitation off the street and suddenly finds himself the main event at a ""murder party."""
TUNA GIRL,Japan,TV-PG,"Dramas, International Movies",A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.
The Silence of Others,"Spain, France, Canada, United States",TV-14,"Documentaries, International Movies","Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco's regime as they seek justice."
Brick Mansions,"France, Canada, United States, Spain",PG-13,"Action & Adventure, International Movies",An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project.
Growing up and other problems,Spain,TV-14,"Comedies, Dramas, International Movies",A 30-something woman without a steady partner or income samples stability when her pregnant best friend asks her to be the godmother of her child.
Knowing,"United States, United Kingdom, Australia",PG-13,"Sci-Fi & Fantasy, Thrillers",An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity.
Di Renjie zhi Sidatianwang,"China, Hong Kong",TV-14,"Action & Adventure, International Movies, Sci-Fi & Fantasy","Framed by an empress who plans to steal a dragon-taming mace, imperial magistrate Dee Renjie soon uncovers a greater plot that threatens the kingdom."
Chal Bhaag,India,TV-14,"Comedies, Dramas, International Movies",Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.
Jen Kirkman: Just Keep Livin’?,United States,TV-MA,Stand-Up Comedy,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost."
Butterfield 8,United States,TV-14,"Classic Movies, Dramas, Romantic Movies","Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right."
Philomena,"United Kingdom, United States, France",PG-13,"Dramas, Independent Movies, International Movies",A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.
JJ+E,,TV-MA,"Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
RUSSELL BRAND: RE:BIRTH,,TV-MA,Stand-Up Comedy,Russell Brand gets loquacious in London as he ruminates on the state of the world and marvels over how his life changed the moment he became a father.
Bobby,India,TV-14,"Classic Movies, Dramas, International Movies","Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose."
West Coast Customs,United States,TV-G,"Docuseries, Reality TV","West Coast Customs, a mecca for well-heeled car lovers, stars as their team creates some of the most luxurious, outrageous vehicles on the planet."
Love & Anarchy,Sweden,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.
Krish Trish and Baltiboy: Comics of India,,TV-Y7,Children & Family Movies,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
Buried by the Bernards,United States,TV-14,Reality TV,"In this reality series, the bickering but big-hearted Bernards manage their budget-friendly funeral home while helping grieving families say farewell."
The Untold Tales of Armistead Maupin,United States,TV-MA,"Documentaries, LGBTQ Movies","This documentary traces the life of ""Tales of the City"" author Armistead Maupin, from his conservative roots to his rise as an LGBTQ champion."
Hyori's Bed & Breakfast,,TV-14,"International TV Shows, Korean TV Shows, Reality TV","K-pop diva Lee Hyo-ri and her husband open up their home on the beautiful Jeju Island to welcome travelers for free stays, meals and late-night chats."
Valentine's Day,United States,PG-13,"Comedies, Romantic Movies",The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year: February 14.
Alpha and Omega: The Legend of the Saw Tooth Cave,"United States, India",TV-Y7,Children & Family Movies,"When a wolf pup named Runt sneaks off to explore a mysterious cave, he meets and befriends a wolf driven from her pack because she's blind."
Nailed It! Germany,Germany,TV-14,"International TV Shows, Reality TV","Home cooks try – and inevitably fail – to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros."
LEGO House - Home of the Brick,,TV-G,"Documentaries, International Movies","In Billund, Denmark, a nearly 130,000-square-foot house is constructed with 25 million Lego bricks, capturing the awe of kids of all ages."
Dark Places,"United States, United Kingdom, France",R,"Dramas, International Movies, Thrillers","Years after surviving a brutal crime as a child, Libby Day comes to believe that the brother she testified against for committing it may be innocent."
Hajwala 2: Mysterious Mission,United Arab Emirates,TV-14,"Action & Adventure, Comedies, International Movies","In this sequel, a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang."
Squid Game,,TV-MA,"International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
Christmas Survival,United Kingdom,TV-MA,Comedies,"With Christmas just around the corner, sisters Miranda and Lyla bring their families to their childhood home, where rivalries don't take a holiday."
Rudra: The Rise of King Pharaoh,,TV-Y7,Children & Family Movies,"When a malicious, resurrected mummy begins to steal the energy of young people in Mumbai, kid magician Rudra must use his special powers to stop him."
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Canada, United States",TV-MA,Documentaries,"Through the lens of his stunningly immersive performance as Andy Kaufman, Jim Carrey ponders the meaning of life, reality, identity and career."
"Septiembre, un llanto en silencio",Guatemala,TV-MA,"Dramas, Independent Movies, International Movies","After a terrorist attack in Guatemala, a baby is rendered deaf and motherless and her father is left to raise her alone."
Freaks,"United States, Canada",R,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world."
The Hunt,United Kingdom,TV-PG,"British TV Shows, Docuseries, Science & Nature TV","Witness some of the most riveting showdowns in the animal kingdom as cameras capture leopards, polar bears and other predators targeting their prey."
Justice,United States,R,Movies,"A U.S. Marshal arrives at a small town in Nevada, only to learn that his preacher brother is dead after standing up to the town's mayor and outlaws."
Fate: The Winx Saga - The Afterparty,United Kingdom,TV-14,"Comedies, Dramas","Stars of the fiery hit discuss the show's magic, play trivia and chow down on hot wings. Then, Taylor Tomlinson shares how she would use fairy powers."
We Are Young. We Are Strong.,Germany,TV-MA,"Dramas, International Movies","In 1992, three radically different residents of Rostock, Germany, become entangled in a violent xenophobic riot that rocks the beleaguered city."
Remember,"Canada, Mexico, Germany, South Africa",R,"Action & Adventure, Dramas","Following the written instructions of his friend, senile Zev crosses the country to find and murder the Nazi who killed their families in Auschwitz."
Rebellion,Ireland,TV-MA,"International TV Shows, TV Dramas","As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule."
Mandobasar Galpo,India,TV-14,"Dramas, International Movies, Romantic Movies","With the assistance of a psychiatrist, an acclaimed filmmaker struggles to come to terms with a mysterious romantic trauma."
Blood Brothers: Malcolm X & Muhammad Ali,,PG-13,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
Shiva VS Autobots,,TV-Y7,Children & Family Movies,"When an evil enemy gains control of a gadget that sends vehicles destructively spinning out of control, kid superhero Shiva must stop the chaos!"
Someone Has to Die,"Mexico, Spain",TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences."
"Big Dreams, Small Spaces",United Kingdom,TV-G,"British TV Shows, International TV Shows, Reality TV",Writer and presenter Monty Don helps England's budding horticulturists plant and grow the gardens of their dreams.
The Happytime Murders,"United States, China, Canada",R,"Action & Adventure, Comedies","In an LA where puppets and humans coexist, a down-on-his-luck detective teams with his ex-partner to nab a killer targeting the cast of an old TV show."
Halston,United States,TV-MA,TV Dramas,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.
Buddi,"United Kingdom, China",TV-Y,"British TV Shows, Kids' TV","The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship."
Lo and Behold: Reveries of the Connected World,United States,PG-13,Documentaries,"Filmmaker Werner Herzog presents a history of the internet, starting with its birth in 1969, and ponders the joys and sorrows of its social influence."
Messiah,United States,TV-MA,"TV Dramas, TV Thrillers",A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events.
My Babysitter's a Vampire: The Movie,Canada,TV-PG,"Children & Family Movies, Comedies","When their parents head out for the evening, Ethan and his little sister get the babysitter of their nightmares: a fledgling vampire named Sarah."
I Got the Hook Up,United States,R,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
Green Zone,"United Kingdom, France, Spain, United States",R,Action & Adventure,"A US Army officer uncovers a conspiracy about weapons of mass destruction in Iraq, launching a crusade that creates enemies within his own military."
Feminists: What Were They Thinking?,United States,TV-MA,"Documentaries, LGBTQ Movies","Revisiting 1970s photos of women that captured a feminist awakening, this film explores those women's lives and examines the continued need for change."
Euphoria,Italy,R,"Dramas, International Movies, LGBTQ Movies","An entrepreneur prone to partying and his estranged brother, a teacher resigned to a humdrum life, begin to bond under fragile circumstances."
Umrika,India,TV-MA,"Dramas, Independent Movies, International Movies","An ambitious man leaves his small Indian village for America. But when his letters to home stop coming, his brother sets out on his own adventure."
Back and Forth,Brazil,NR,"Comedies, Dramas, International Movies","When their car breaks down en route to São Paulo, a father and son accept a ride from four beautiful telemarketers who are headed there on holiday."
Operator,United States,TV-MA,"Comedies, Dramas, Independent Movies","When a programmer uses his wife's sympathetic voice for his company's customer service app, he starts to rely more on her idealized self than her."
An American Tail,United States,G,Children & Family Movies,"Fievel, a young Russian mouse, immigrates to America and must make his own way in the strange and sometimes perilous new world."
FullMetal Alchemist,Japan,TV-PG,"Action & Adventure, Dramas, International Movies","While alchemist Edward Elric searches for a way to restore his brother Al's body, the military government and mysterious monsters are watching closely."
Mugamoodi,India,TV-14,"Action & Adventure, International Movies",A martial arts specialist accidentally becomes a superhero when he steps in – in costume – to help the cops catch a criminal.
Bana Masal Anlatma,Turkey,TV-14,"Comedies, International Movies, Romantic Movies","Minibus driver Riza is a steady presence in his close-knit neighborhood, until he brings home a dreamy beauty and throws everything into chaos."
White Gold,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window."
Our Souls at Night,United States,TV-14,"Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom."
High Strung Free Dance,"Romania, United States",TV-14,"Dramas, Music & Musicals, Romantic Movies",A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight.
Shadow of Truth,Israel,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",This documentary series explores the explosive 2006 murder case of a 13-year-old Israeli girl and the subsequent conviction of a Ukrainian immigrant.
LEGO Marvel Spider-Man: Vexed by Venom,United States,TV-Y,"Children & Family Movies, Comedies","When Green Goblin and Venom team up for a disastrous scheme, Spider-Man calls in a wall-crawling ally and must rely on his Spidey senses to stop them."
Rainbow Time,United States,TV-MA,"Comedies, Dramas, Independent Movies","A developmentally disabled man obsessed with the Fonz, guns and all things kinky poses a challenge for his arrogant brother when he moves in with him."
Remember Me,United States,PG-13,"Dramas, Romantic Movies","Tyler's still feeling lost following the tragedy that's strained his relationship with his father when he meets Ally, a girl who understands his pain."
Ainori Love Wagon: Asian Journey,Japan,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows","Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple."
Sam Kinison: The Scream Continues,United States,TV-MA,Documentaries,Sam's brother and former manager Bill Kinison speaks about the late comedian's journey from preacher to standup legend.
Living Undocumented,United States,TV-MA,Docuseries,Eight undocumented families' fates roller-coast as the United States' immigration policies are transformed.
Marc Maron: End Times Fun,United States,TV-MA,Stand-Up Comedy,"Marc Maron wades through a swamp of vitamin hustlers, evangelicals and grown male nerd children, culminating in a gleefully filthy end-times fantasy."
The Parole Officer,United Kingdom,R,"Action & Adventure, Comedies","After witnessing a murder, Simon Garden is framed – and the only evidence that proves his innocence is a videotape locked inside a bank vault."
Hap and Leonard,United States,TV-MA,"Crime TV Shows, TV Dramas","In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends."
